Category: All categories

Week,Lockdown: (Iran)
2020-01-26,38
2020-02-02,62
2020-02-09,51
2020-02-16,48
2020-02-23,43
2020-03-01,52
2020-03-08,53
2020-03-15,61
2020-03-22,68
2020-03-29,66
2020-04-05,81
2020-04-12,100
2020-04-19,87
2020-04-26,67
2020-05-03,71
2020-05-10,74
2020-05-17,70
2020-05-24,38
2020-05-31,59
2020-06-07,67
2020-06-14,39
2020-06-21,49
2020-06-28,79
2020-07-05,46
2020-07-12,50
2020-07-19,55
2020-07-26,58
2020-08-02,27
2020-08-09,58
2020-08-16,45
2020-08-23,47
2020-08-30,45
2020-09-06,44
2020-09-13,55
2020-09-20,47
2020-09-27,49
2020-10-04,43
2020-10-11,47
2020-10-18,47
2020-10-25,40
2020-11-01,48
2020-11-08,39
2020-11-15,69
2020-11-22,48
2020-11-29,48
2020-12-06,46
2020-12-13,51
2020-12-20,49
2020-12-27,30
2021-01-03,46
2021-01-10,44
2021-01-17,44
2021-01-24,46
2021-01-31,42
2021-02-07,40
2021-02-14,46
2021-02-21,49
2021-02-28,44
2021-03-07,47
2021-03-14,35
2021-03-21,52
2021-03-28,65
2021-04-04,61
2021-04-11,72
2021-04-18,45
2021-04-25,66
2021-05-02,47
2021-05-09,64
2021-05-16,32
2021-05-23,44
2021-05-30,56
2021-06-06,40
2021-06-13,51
2021-06-20,50
2021-06-27,46
2021-07-04,52
2021-07-11,44
2021-07-18,41
2021-07-25,70
2021-08-01,44
2021-08-08,49
2021-08-15,53
2021-08-22,58
2021-08-29,38
2021-09-05,40
2021-09-12,45
2021-09-19,45
2021-09-26,43
2021-10-03,38
2021-10-10,52
2021-10-17,39
2021-10-24,25
2021-10-31,57
2021-11-07,29
2021-11-14,53
2021-11-21,41
2021-11-28,40
2021-12-05,35
2021-12-12,35
2021-12-19,47
2021-12-26,45
2022-01-02,40
2022-01-09,43
2022-01-16,36
2022-01-23,32
2022-01-30,44
2022-02-06,48
2022-02-13,48
2022-02-20,46
2022-02-27,35
2022-03-06,35
2022-03-13,41
2022-03-20,44
2022-03-27,40
2022-04-03,53
2022-04-10,59
