Category: All categories

Week,medical treatment: (Israel)
2020-01-26,50
2020-02-02,50
2020-02-09,76
2020-02-16,25
2020-02-23,97
2020-03-01,48
2020-03-08,48
2020-03-15,0
2020-03-22,23
2020-03-29,23
2020-04-05,0
2020-04-12,25
2020-04-19,69
2020-04-26,24
2020-05-03,45
2020-05-10,47
2020-05-17,47
2020-05-24,75
2020-05-31,46
2020-06-07,45
2020-06-14,0
2020-06-21,71
2020-06-28,24
2020-07-05,47
2020-07-12,0
2020-07-19,71
2020-07-26,24
2020-08-02,0
2020-08-09,0
2020-08-16,24
2020-08-23,25
2020-08-30,24
2020-09-06,47
2020-09-13,0
2020-09-20,0
2020-09-27,51
2020-10-04,25
2020-10-11,50
2020-10-18,25
2020-10-25,0
2020-11-01,0
2020-11-08,51
2020-11-15,25
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,50
2020-12-20,26
2020-12-27,26
2021-01-03,100
2021-01-10,0
2021-01-17,25
2021-01-24,25
2021-01-31,0
2021-02-07,25
2021-02-14,25
2021-02-21,0
2021-02-28,51
2021-03-07,26
2021-03-14,0
2021-03-21,0
2021-03-28,28
2021-04-04,51
2021-04-11,27
2021-04-18,0
2021-04-25,26
2021-05-02,52
2021-05-09,0
2021-05-16,52
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,26
2021-06-20,26
2021-06-27,26
2021-07-04,0
2021-07-11,26
2021-07-18,28
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,57
2021-08-29,28
2021-09-05,32
2021-09-12,0
2021-09-19,0
2021-09-26,90
2021-10-03,0
2021-10-10,0
2021-10-17,58
2021-10-24,57
2021-10-31,57
2021-11-07,28
2021-11-14,0
2021-11-21,28
2021-11-28,28
2021-12-05,56
2021-12-12,83
2021-12-19,0
2021-12-26,57
2022-01-02,55
2022-01-09,27
2022-01-16,0
2022-01-23,80
2022-01-30,0
2022-02-06,28
2022-02-13,29
2022-02-20,0
2022-02-27,55
2022-03-06,27
2022-03-13,28
2022-03-20,27
2022-03-27,0
2022-04-03,0
2022-04-10,0
