Category: All categories

Week,medical treatment: (Switzerland)
2020-01-26,22
2020-02-02,21
2020-02-09,22
2020-02-16,22
2020-02-23,0
2020-03-01,21
2020-03-08,20
2020-03-15,81
2020-03-22,0
2020-03-29,39
2020-04-05,0
2020-04-12,42
2020-04-19,20
2020-04-26,0
2020-05-03,20
2020-05-10,20
2020-05-17,0
2020-05-24,21
2020-05-31,0
2020-06-07,20
2020-06-14,0
2020-06-21,22
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,24
2020-08-02,69
2020-08-09,22
2020-08-16,64
2020-08-23,21
2020-08-30,21
2020-09-06,21
2020-09-13,64
2020-09-20,0
2020-09-27,0
2020-10-04,22
2020-10-11,23
2020-10-18,0
2020-10-25,0
2020-11-01,41
2020-11-08,0
2020-11-15,22
2020-11-22,0
2020-11-29,43
2020-12-06,21
2020-12-13,44
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,21
2021-01-17,0
2021-01-24,21
2021-01-31,21
2021-02-07,21
2021-02-14,44
2021-02-21,44
2021-02-28,0
2021-03-07,21
2021-03-14,41
2021-03-21,0
2021-03-28,47
2021-04-04,23
2021-04-11,0
2021-04-18,22
2021-04-25,0
2021-05-02,0
2021-05-09,22
2021-05-16,43
2021-05-23,0
2021-05-30,22
2021-06-06,0
2021-06-13,45
2021-06-20,22
2021-06-27,22
2021-07-04,23
2021-07-11,0
2021-07-18,53
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,48
2021-08-22,0
2021-08-29,48
2021-09-05,24
2021-09-12,0
2021-09-19,0
2021-09-26,24
2021-10-03,24
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,47
2021-11-21,23
2021-11-28,23
2021-12-05,46
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,24
2022-01-23,0
2022-01-30,0
2022-02-06,26
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,100
2022-03-27,0
2022-04-03,23
2022-04-10,0
