Category: All categories

Week,medical treatment: (Canada)
2020-01-26,62
2020-02-02,60
2020-02-09,90
2020-02-16,65
2020-02-23,49
2020-03-01,79
2020-03-08,78
2020-03-15,62
2020-03-22,68
2020-03-29,39
2020-04-05,43
2020-04-12,60
2020-04-19,50
2020-04-26,45
2020-05-03,45
2020-05-10,40
2020-05-17,66
2020-05-24,39
2020-05-31,47
2020-06-07,54
2020-06-14,56
2020-06-21,36
2020-06-28,68
2020-07-05,45
2020-07-12,55
2020-07-19,67
2020-07-26,40
2020-08-02,59
2020-08-09,44
2020-08-16,60
2020-08-23,46
2020-08-30,54
2020-09-06,46
2020-09-13,69
2020-09-20,66
2020-09-27,52
2020-10-04,66
2020-10-11,52
2020-10-18,65
2020-10-25,51
2020-11-01,49
2020-11-08,45
2020-11-15,60
2020-11-22,59
2020-11-29,65
2020-12-06,53
2020-12-13,58
2020-12-20,42
2020-12-27,41
2021-01-03,62
2021-01-10,52
2021-01-17,59
2021-01-24,55
2021-01-31,40
2021-02-07,53
2021-02-14,69
2021-02-21,65
2021-02-28,49
2021-03-07,75
2021-03-14,60
2021-03-21,78
2021-03-28,59
2021-04-04,61
2021-04-11,75
2021-04-18,70
2021-04-25,53
2021-05-02,50
2021-05-09,54
2021-05-16,63
2021-05-23,75
2021-05-30,71
2021-06-06,51
2021-06-13,54
2021-06-20,53
2021-06-27,35
2021-07-04,64
2021-07-11,68
2021-07-18,46
2021-07-25,69
2021-08-01,74
2021-08-08,65
2021-08-15,92
2021-08-22,60
2021-08-29,71
2021-09-05,81
2021-09-12,79
2021-09-19,94
2021-09-26,81
2021-10-03,85
2021-10-10,63
2021-10-17,70
2021-10-24,72
2021-10-31,49
2021-11-07,65
2021-11-14,64
2021-11-21,70
2021-11-28,69
2021-12-05,67
2021-12-12,54
2021-12-19,46
2021-12-26,63
2022-01-02,67
2022-01-09,59
2022-01-16,49
2022-01-23,66
2022-01-30,65
2022-02-06,72
2022-02-13,66
2022-02-20,64
2022-02-27,100
2022-03-06,86
2022-03-13,67
2022-03-20,61
2022-03-27,66
2022-04-03,80
2022-04-10,75
