Category: All categories

Week,medical treatment: (United States)
2020-01-26,91
2020-02-02,89
2020-02-09,92
2020-02-16,88
2020-02-23,97
2020-03-01,89
2020-03-08,79
2020-03-15,73
2020-03-22,75
2020-03-29,78
2020-04-05,74
2020-04-12,75
2020-04-19,82
2020-04-26,82
2020-05-03,80
2020-05-10,73
2020-05-17,70
2020-05-24,56
2020-05-31,61
2020-06-07,70
2020-06-14,73
2020-06-21,73
2020-06-28,72
2020-07-05,76
2020-07-12,96
2020-07-19,75
2020-07-26,84
2020-08-02,65
2020-08-09,75
2020-08-16,70
2020-08-23,72
2020-08-30,77
2020-09-06,90
2020-09-13,89
2020-09-20,87
2020-09-27,95
2020-10-04,100
2020-10-11,84
2020-10-18,86
2020-10-25,89
2020-11-01,69
2020-11-08,81
2020-11-15,82
2020-11-22,65
2020-11-29,86
2020-12-06,91
2020-12-13,71
2020-12-20,43
2020-12-27,51
2021-01-03,67
2021-01-10,73
2021-01-17,75
2021-01-24,76
2021-01-31,92
2021-02-07,81
2021-02-14,74
2021-02-21,90
2021-02-28,84
2021-03-07,87
2021-03-14,79
2021-03-21,84
2021-03-28,86
2021-04-04,84
2021-04-11,90
2021-04-18,86
2021-04-25,86
2021-05-02,85
2021-05-09,85
2021-05-16,83
2021-05-23,77
2021-05-30,67
2021-06-06,82
2021-06-13,82
2021-06-20,75
2021-06-27,75
2021-07-04,61
2021-07-11,84
2021-07-18,79
2021-07-25,73
2021-08-01,74
2021-08-08,79
2021-08-15,79
2021-08-22,79
2021-08-29,85
2021-09-05,90
2021-09-12,93
2021-09-19,87
2021-09-26,90
2021-10-03,91
2021-10-10,84
2021-10-17,92
2021-10-24,91
2021-10-31,94
2021-11-07,97
2021-11-14,99
2021-11-21,74
2021-11-28,94
2021-12-05,95
2021-12-12,81
2021-12-19,61
2021-12-26,59
2022-01-02,80
2022-01-09,89
2022-01-16,91
2022-01-23,90
2022-01-30,91
2022-02-06,92
2022-02-13,95
2022-02-20,81
2022-02-27,88
2022-03-06,91
2022-03-13,96
2022-03-20,90
2022-03-27,82
2022-04-03,91
2022-04-10,85
