Category: All categories

Week,medical treatment: (Qatar)
2020-01-26,0
2020-02-02,57
2020-02-09,39
2020-02-16,58
2020-02-23,18
2020-03-01,36
2020-03-08,35
2020-03-15,17
2020-03-22,16
2020-03-29,66
2020-04-05,0
2020-04-12,34
2020-04-19,51
2020-04-26,0
2020-05-03,35
2020-05-10,35
2020-05-17,18
2020-05-24,18
2020-05-31,0
2020-06-07,17
2020-06-14,52
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,19
2020-07-26,0
2020-08-02,19
2020-08-09,19
2020-08-16,0
2020-08-23,0
2020-08-30,19
2020-09-06,0
2020-09-13,18
2020-09-20,17
2020-09-27,52
2020-10-04,0
2020-10-11,55
2020-10-18,0
2020-10-25,92
2020-11-01,35
2020-11-08,37
2020-11-15,38
2020-11-22,37
2020-11-29,18
2020-12-06,0
2020-12-13,20
2020-12-20,41
2020-12-27,20
2021-01-03,0
2021-01-10,38
2021-01-17,37
2021-01-24,19
2021-01-31,0
2021-02-07,18
2021-02-14,36
2021-02-21,18
2021-02-28,0
2021-03-07,38
2021-03-14,35
2021-03-21,0
2021-03-28,0
2021-04-04,72
2021-04-11,52
2021-04-18,34
2021-04-25,33
2021-05-02,34
2021-05-09,0
2021-05-16,18
2021-05-23,18
2021-05-30,36
2021-06-06,18
2021-06-13,0
2021-06-20,55
2021-06-27,19
2021-07-04,0
2021-07-11,100
2021-07-18,0
2021-07-25,62
2021-08-01,20
2021-08-08,20
2021-08-15,19
2021-08-22,0
2021-08-29,0
2021-09-05,39
2021-09-12,19
2021-09-19,19
2021-09-26,19
2021-10-03,0
2021-10-10,0
2021-10-17,19
2021-10-24,53
2021-10-31,72
2021-11-07,38
2021-11-14,38
2021-11-21,0
2021-11-28,53
2021-12-05,18
2021-12-12,19
2021-12-19,21
2021-12-26,81
2022-01-02,72
2022-01-09,17
2022-01-16,17
2022-01-23,72
2022-01-30,39
2022-02-06,19
2022-02-13,19
2022-02-20,19
2022-02-27,0
2022-03-06,57
2022-03-13,19
2022-03-20,0
2022-03-27,17
2022-04-03,0
2022-04-10,35
