Category: All categories

Week,medical treatment: (Italy)
2020-01-26,17
2020-02-02,0
2020-02-09,53
2020-02-16,0
2020-02-23,100
2020-03-01,33
2020-03-08,64
2020-03-15,16
2020-03-22,45
2020-03-29,46
2020-04-05,48
2020-04-12,16
2020-04-19,31
2020-04-26,31
2020-05-03,80
2020-05-10,32
2020-05-17,16
2020-05-24,16
2020-05-31,17
2020-06-07,16
2020-06-14,34
2020-06-21,70
2020-06-28,53
2020-07-05,18
2020-07-12,18
2020-07-19,0
2020-07-26,19
2020-08-02,0
2020-08-09,0
2020-08-16,98
2020-08-23,37
2020-08-30,35
2020-09-06,54
2020-09-13,18
2020-09-20,17
2020-09-27,0
2020-10-04,36
2020-10-11,0
2020-10-18,18
2020-10-25,36
2020-11-01,17
2020-11-08,17
2020-11-15,0
2020-11-22,0
2020-11-29,17
2020-12-06,88
2020-12-13,0
2020-12-20,20
2020-12-27,19
2021-01-03,17
2021-01-10,18
2021-01-17,0
2021-01-24,0
2021-01-31,36
2021-02-07,0
2021-02-14,19
2021-02-21,0
2021-02-28,0
2021-03-07,70
2021-03-14,0
2021-03-21,36
2021-03-28,19
2021-04-04,19
2021-04-11,18
2021-04-18,18
2021-04-25,18
2021-05-02,0
2021-05-09,0
2021-05-16,36
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,59
2021-06-20,20
2021-06-27,40
2021-07-04,20
2021-07-11,58
2021-07-18,0
2021-07-25,0
2021-08-01,20
2021-08-08,21
2021-08-15,0
2021-08-22,41
2021-08-29,41
2021-09-05,21
2021-09-12,40
2021-09-19,61
2021-09-26,20
2021-10-03,0
2021-10-10,0
2021-10-17,21
2021-10-24,21
2021-10-31,22
2021-11-07,42
2021-11-14,42
2021-11-21,0
2021-11-28,21
2021-12-05,0
2021-12-12,24
2021-12-19,29
2021-12-26,0
2022-01-02,0
2022-01-09,24
2022-01-16,73
2022-01-23,24
2022-01-30,25
2022-02-06,25
2022-02-13,51
2022-02-20,50
2022-02-27,0
2022-03-06,0
2022-03-13,50
2022-03-20,26
2022-03-27,0
2022-04-03,23
2022-04-10,78
