Category: All categories

Week,medical treatment: (Spain)
2020-01-26,31
2020-02-02,31
2020-02-09,0
2020-02-16,0
2020-02-23,31
2020-03-01,0
2020-03-08,73
2020-03-15,15
2020-03-22,14
2020-03-29,14
2020-04-05,15
2020-04-12,28
2020-04-19,13
2020-04-26,27
2020-05-03,27
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,28
2020-06-07,14
2020-06-14,30
2020-06-21,16
2020-06-28,16
2020-07-05,49
2020-07-12,17
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,17
2020-08-16,0
2020-08-23,0
2020-08-30,16
2020-09-06,16
2020-09-13,16
2020-09-20,16
2020-09-27,16
2020-10-04,16
2020-10-11,17
2020-10-18,16
2020-10-25,17
2020-11-01,16
2020-11-08,100
2020-11-15,50
2020-11-22,63
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,49
2021-01-10,0
2021-01-17,16
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,17
2021-03-07,63
2021-03-14,0
2021-03-21,17
2021-03-28,18
2021-04-04,16
2021-04-11,16
2021-04-18,0
2021-04-25,31
2021-05-02,32
2021-05-09,0
2021-05-16,64
2021-05-23,16
2021-05-30,16
2021-06-06,16
2021-06-13,0
2021-06-20,51
2021-06-27,17
2021-07-04,17
2021-07-11,17
2021-07-18,0
2021-07-25,17
2021-08-01,0
2021-08-08,18
2021-08-15,0
2021-08-22,56
2021-08-29,36
2021-09-05,0
2021-09-12,55
2021-09-19,0
2021-09-26,54
2021-10-03,18
2021-10-10,39
2021-10-17,0
2021-10-24,0
2021-10-31,38
2021-11-07,38
2021-11-14,18
2021-11-21,18
2021-11-28,74
2021-12-05,20
2021-12-12,21
2021-12-19,0
2021-12-26,0
2022-01-02,45
2022-01-09,21
2022-01-16,43
2022-01-23,43
2022-01-30,68
2022-02-06,45
2022-02-13,87
2022-02-20,0
2022-02-27,22
2022-03-06,0
2022-03-13,42
2022-03-20,21
2022-03-27,63
2022-04-03,19
2022-04-10,24
