Category: All categories

Week,medical treatment: (Australia)
2020-01-26,67
2020-02-02,52
2020-02-09,62
2020-02-16,53
2020-02-23,68
2020-03-01,84
2020-03-08,68
2020-03-15,88
2020-03-22,78
2020-03-29,57
2020-04-05,58
2020-04-12,58
2020-04-19,68
2020-04-26,63
2020-05-03,79
2020-05-10,62
2020-05-17,65
2020-05-24,77
2020-05-31,58
2020-06-07,46
2020-06-14,64
2020-06-21,63
2020-06-28,68
2020-07-05,68
2020-07-12,60
2020-07-19,58
2020-07-26,50
2020-08-02,64
2020-08-09,70
2020-08-16,82
2020-08-23,65
2020-08-30,52
2020-09-06,59
2020-09-13,70
2020-09-20,75
2020-09-27,47
2020-10-04,52
2020-10-11,68
2020-10-18,63
2020-10-25,63
2020-11-01,69
2020-11-08,48
2020-11-15,49
2020-11-22,63
2020-11-29,49
2020-12-06,60
2020-12-13,60
2020-12-20,36
2020-12-27,54
2021-01-03,68
2021-01-10,51
2021-01-17,62
2021-01-24,58
2021-01-31,58
2021-02-07,49
2021-02-14,85
2021-02-21,60
2021-02-28,77
2021-03-07,69
2021-03-14,75
2021-03-21,51
2021-03-28,74
2021-04-04,67
2021-04-11,57
2021-04-18,91
2021-04-25,89
2021-05-02,63
2021-05-09,65
2021-05-16,75
2021-05-23,71
2021-05-30,87
2021-06-06,71
2021-06-13,71
2021-06-20,61
2021-06-27,68
2021-07-04,51
2021-07-11,47
2021-07-18,67
2021-07-25,67
2021-08-01,72
2021-08-08,81
2021-08-15,89
2021-08-22,68
2021-08-29,79
2021-09-05,96
2021-09-12,75
2021-09-19,80
2021-09-26,70
2021-10-03,92
2021-10-10,60
2021-10-17,77
2021-10-24,91
2021-10-31,80
2021-11-07,76
2021-11-14,67
2021-11-21,57
2021-11-28,66
2021-12-05,79
2021-12-12,55
2021-12-19,58
2021-12-26,61
2022-01-02,59
2022-01-09,60
2022-01-16,47
2022-01-23,69
2022-01-30,63
2022-02-06,54
2022-02-13,60
2022-02-20,44
2022-02-27,66
2022-03-06,72
2022-03-13,94
2022-03-20,100
2022-03-27,75
2022-04-03,77
2022-04-10,83
