Category: All categories

Week,medical treatment: (Brazil)
2020-01-26,18
2020-02-02,35
2020-02-09,34
2020-02-16,0
2020-02-23,54
2020-03-01,16
2020-03-08,49
2020-03-15,49
2020-03-22,47
2020-03-29,61
2020-04-05,31
2020-04-12,46
2020-04-19,15
2020-04-26,15
2020-05-03,0
2020-05-10,45
2020-05-17,44
2020-05-24,31
2020-05-31,73
2020-06-07,15
2020-06-14,15
2020-06-21,93
2020-06-28,30
2020-07-05,16
2020-07-12,16
2020-07-19,16
2020-07-26,48
2020-08-02,0
2020-08-09,47
2020-08-16,46
2020-08-23,0
2020-08-30,46
2020-09-06,32
2020-09-13,78
2020-09-20,48
2020-09-27,64
2020-10-04,81
2020-10-11,18
2020-10-18,34
2020-10-25,50
2020-11-01,0
2020-11-08,66
2020-11-15,63
2020-11-22,16
2020-11-29,49
2020-12-06,33
2020-12-13,51
2020-12-20,20
2020-12-27,20
2021-01-03,17
2021-01-10,17
2021-01-17,68
2021-01-24,0
2021-01-31,0
2021-02-07,17
2021-02-14,53
2021-02-21,32
2021-02-28,33
2021-03-07,33
2021-03-14,0
2021-03-21,17
2021-03-28,51
2021-04-04,49
2021-04-11,48
2021-04-18,16
2021-04-25,78
2021-05-02,48
2021-05-09,83
2021-05-16,65
2021-05-23,49
2021-05-30,17
2021-06-06,16
2021-06-13,0
2021-06-20,49
2021-06-27,16
2021-07-04,100
2021-07-11,0
2021-07-18,18
2021-07-25,100
2021-08-01,65
2021-08-08,0
2021-08-15,65
2021-08-22,35
2021-08-29,36
2021-09-05,20
2021-09-12,38
2021-09-19,19
2021-09-26,75
2021-10-03,38
2021-10-10,41
2021-10-17,19
2021-10-24,37
2021-10-31,39
2021-11-07,56
2021-11-14,37
2021-11-21,36
2021-11-28,36
2021-12-05,0
2021-12-12,0
2021-12-19,46
2021-12-26,23
2022-01-02,59
2022-01-09,0
2022-01-16,19
2022-01-23,18
2022-01-30,57
2022-02-06,37
2022-02-13,74
2022-02-20,56
2022-02-27,0
2022-03-06,19
2022-03-13,53
2022-03-20,36
2022-03-27,17
2022-04-03,0
2022-04-10,18
