Category: All categories

Week,medical treatment: (United Arab Emirates)
2020-01-26,66
2020-02-02,46
2020-02-09,39
2020-02-16,26
2020-02-23,61
2020-03-01,31
2020-03-08,37
2020-03-15,30
2020-03-22,45
2020-03-29,39
2020-04-05,44
2020-04-12,17
2020-04-19,51
2020-04-26,30
2020-05-03,17
2020-05-10,29
2020-05-17,36
2020-05-24,37
2020-05-31,49
2020-06-07,22
2020-06-14,45
2020-06-21,81
2020-06-28,36
2020-07-05,25
2020-07-12,64
2020-07-19,60
2020-07-26,34
2020-08-02,52
2020-08-09,19
2020-08-16,45
2020-08-23,39
2020-08-30,73
2020-09-06,42
2020-09-13,48
2020-09-20,68
2020-09-27,70
2020-10-04,64
2020-10-11,42
2020-10-18,100
2020-10-25,43
2020-11-01,57
2020-11-08,12
2020-11-15,86
2020-11-22,43
2020-11-29,34
2020-12-06,39
2020-12-13,54
2020-12-20,48
2020-12-27,74
2021-01-03,61
2021-01-10,24
2021-01-17,48
2021-01-24,90
2021-01-31,60
2021-02-07,52
2021-02-14,42
2021-02-21,65
2021-02-28,41
2021-03-07,42
2021-03-14,85
2021-03-21,54
2021-03-28,33
2021-04-04,57
2021-04-11,48
2021-04-18,81
2021-04-25,51
2021-05-02,52
2021-05-09,13
2021-05-16,64
2021-05-23,24
2021-05-30,47
2021-06-06,24
2021-06-13,35
2021-06-20,12
2021-06-27,32
2021-07-04,32
2021-07-11,59
2021-07-18,30
2021-07-25,41
2021-08-01,62
2021-08-08,61
2021-08-15,53
2021-08-22,48
2021-08-29,39
2021-09-05,45
2021-09-12,50
2021-09-19,37
2021-09-26,78
2021-10-03,59
2021-10-10,73
2021-10-17,61
2021-10-24,34
2021-10-31,39
2021-11-07,58
2021-11-14,63
2021-11-21,41
2021-11-28,44
2021-12-05,43
2021-12-12,51
2021-12-19,52
2021-12-26,51
2022-01-02,47
2022-01-09,68
2022-01-16,52
2022-01-23,18
2022-01-30,61
2022-02-06,35
2022-02-13,54
2022-02-20,58
2022-02-27,35
2022-03-06,41
2022-03-13,47
2022-03-20,71
2022-03-27,57
2022-04-03,55
2022-04-10,40
