Category: All categories

Week,medical treatment: (Vietnam)
2020-01-26,0
2020-02-02,6
2020-02-09,24
2020-02-16,29
2020-02-23,6
2020-03-01,29
2020-03-08,11
2020-03-15,22
2020-03-22,33
2020-03-29,36
2020-04-05,13
2020-04-12,25
2020-04-19,13
2020-04-26,20
2020-05-03,13
2020-05-10,19
2020-05-17,24
2020-05-24,12
2020-05-31,12
2020-06-07,30
2020-06-14,18
2020-06-21,18
2020-06-28,6
2020-07-05,12
2020-07-12,18
2020-07-19,0
2020-07-26,12
2020-08-02,6
2020-08-09,6
2020-08-16,12
2020-08-23,24
2020-08-30,24
2020-09-06,12
2020-09-13,6
2020-09-20,19
2020-09-27,19
2020-10-04,19
2020-10-11,25
2020-10-18,27
2020-10-25,38
2020-11-01,12
2020-11-08,6
2020-11-15,20
2020-11-22,19
2020-11-29,6
2020-12-06,0
2020-12-13,19
2020-12-20,6
2020-12-27,20
2021-01-03,13
2021-01-10,20
2021-01-17,13
2021-01-24,19
2021-01-31,6
2021-02-07,16
2021-02-14,14
2021-02-21,34
2021-02-28,18
2021-03-07,6
2021-03-14,41
2021-03-21,19
2021-03-28,25
2021-04-04,0
2021-04-11,31
2021-04-18,12
2021-04-25,24
2021-05-02,23
2021-05-09,28
2021-05-16,29
2021-05-23,24
2021-05-30,6
2021-06-06,6
2021-06-13,11
2021-06-20,11
2021-06-27,11
2021-07-04,12
2021-07-11,18
2021-07-18,13
2021-07-25,12
2021-08-01,25
2021-08-08,19
2021-08-15,12
2021-08-22,7
2021-08-29,38
2021-09-05,31
2021-09-12,23
2021-09-19,30
2021-09-26,41
2021-10-03,17
2021-10-10,69
2021-10-17,31
2021-10-24,56
2021-10-31,55
2021-11-07,100
2021-11-14,34
2021-11-21,39
2021-11-28,33
2021-12-05,23
2021-12-12,47
2021-12-19,23
2021-12-26,36
2022-01-02,29
2022-01-09,29
2022-01-16,19
2022-01-23,7
2022-01-30,28
2022-02-06,7
2022-02-13,13
2022-02-20,19
2022-02-27,19
2022-03-06,25
2022-03-13,36
2022-03-20,19
2022-03-27,6
2022-04-03,24
2022-04-10,38
