Category: All categories

Week,medical treatment: (Singapore)
2020-01-26,20
2020-02-02,55
2020-02-09,37
2020-02-16,37
2020-02-23,30
2020-03-01,23
2020-03-08,48
2020-03-15,65
2020-03-22,57
2020-03-29,50
2020-04-05,17
2020-04-12,21
2020-04-19,36
2020-04-26,54
2020-05-03,54
2020-05-10,33
2020-05-17,45
2020-05-24,51
2020-05-31,44
2020-06-07,16
2020-06-14,39
2020-06-21,51
2020-06-28,34
2020-07-05,35
2020-07-12,47
2020-07-19,47
2020-07-26,29
2020-08-02,46
2020-08-09,12
2020-08-16,41
2020-08-23,29
2020-08-30,58
2020-09-06,41
2020-09-13,18
2020-09-20,30
2020-09-27,25
2020-10-04,45
2020-10-11,34
2020-10-18,20
2020-10-25,13
2020-11-01,73
2020-11-08,40
2020-11-15,27
2020-11-22,40
2020-11-29,33
2020-12-06,40
2020-12-13,33
2020-12-20,35
2020-12-27,14
2021-01-03,47
2021-01-10,27
2021-01-17,68
2021-01-24,34
2021-01-31,48
2021-02-07,29
2021-02-14,41
2021-02-21,27
2021-02-28,34
2021-03-07,62
2021-03-14,13
2021-03-21,14
2021-03-28,55
2021-04-04,34
2021-04-11,74
2021-04-18,67
2021-04-25,47
2021-05-02,40
2021-05-09,42
2021-05-16,44
2021-05-23,58
2021-05-30,39
2021-06-06,27
2021-06-13,20
2021-06-20,67
2021-06-27,33
2021-07-04,40
2021-07-11,76
2021-07-18,43
2021-07-25,13
2021-08-01,34
2021-08-08,55
2021-08-15,62
2021-08-22,46
2021-08-29,30
2021-09-05,45
2021-09-12,30
2021-09-19,52
2021-09-26,22
2021-10-03,37
2021-10-10,23
2021-10-17,22
2021-10-24,52
2021-10-31,45
2021-11-07,37
2021-11-14,53
2021-11-21,37
2021-11-28,22
2021-12-05,15
2021-12-12,24
2021-12-19,64
2021-12-26,24
2022-01-02,32
2022-01-09,38
2022-01-16,47
2022-01-23,47
2022-01-30,17
2022-02-06,87
2022-02-13,55
2022-02-20,31
2022-02-27,15
2022-03-06,100
2022-03-13,38
2022-03-20,38
2022-03-27,51
2022-04-03,48
2022-04-10,44
