Category: All categories

Week,medical treatment: (France)
2020-01-26,23
2020-02-02,24
2020-02-09,12
2020-02-16,24
2020-02-23,12
2020-03-01,0
2020-03-08,34
2020-03-15,33
2020-03-22,10
2020-03-29,11
2020-04-05,21
2020-04-12,11
2020-04-19,21
2020-04-26,31
2020-05-03,20
2020-05-10,11
2020-05-17,12
2020-05-24,11
2020-05-31,10
2020-06-07,11
2020-06-14,11
2020-06-21,0
2020-06-28,11
2020-07-05,0
2020-07-12,12
2020-07-19,25
2020-07-26,25
2020-08-02,25
2020-08-09,12
2020-08-16,25
2020-08-23,12
2020-08-30,12
2020-09-06,35
2020-09-13,12
2020-09-20,11
2020-09-27,24
2020-10-04,0
2020-10-11,0
2020-10-18,12
2020-10-25,0
2020-11-01,11
2020-11-08,0
2020-11-15,11
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,12
2020-12-20,13
2020-12-27,13
2021-01-03,24
2021-01-10,24
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,12
2021-02-14,12
2021-02-21,12
2021-02-28,25
2021-03-07,24
2021-03-14,22
2021-03-21,24
2021-03-28,12
2021-04-04,11
2021-04-11,12
2021-04-18,0
2021-04-25,11
2021-05-02,0
2021-05-09,0
2021-05-16,12
2021-05-23,0
2021-05-30,12
2021-06-06,12
2021-06-13,24
2021-06-20,0
2021-06-27,12
2021-07-04,25
2021-07-11,13
2021-07-18,0
2021-07-25,13
2021-08-01,13
2021-08-08,14
2021-08-15,13
2021-08-22,0
2021-08-29,26
2021-09-05,27
2021-09-12,0
2021-09-19,26
2021-09-26,39
2021-10-03,0
2021-10-10,41
2021-10-17,27
2021-10-24,27
2021-10-31,0
2021-11-07,27
2021-11-14,26
2021-11-21,38
2021-11-28,13
2021-12-05,0
2021-12-12,14
2021-12-19,16
2021-12-26,0
2022-01-02,0
2022-01-09,14
2022-01-16,14
2022-01-23,43
2022-01-30,0
2022-02-06,15
2022-02-13,15
2022-02-20,45
2022-02-27,30
2022-03-06,30
2022-03-13,15
2022-03-20,15
2022-03-27,100
2022-04-03,13
2022-04-10,15
