Category: All categories

Week,medical treatment: (Thailand)
2020-01-26,12
2020-02-02,25
2020-02-09,26
2020-02-16,12
2020-02-23,25
2020-03-01,36
2020-03-08,25
2020-03-15,38
2020-03-22,23
2020-03-29,36
2020-04-05,0
2020-04-12,0
2020-04-19,12
2020-04-26,24
2020-05-03,12
2020-05-10,35
2020-05-17,46
2020-05-24,36
2020-05-31,12
2020-06-07,24
2020-06-14,24
2020-06-21,0
2020-06-28,24
2020-07-05,0
2020-07-12,36
2020-07-19,12
2020-07-26,25
2020-08-02,24
2020-08-09,100
2020-08-16,24
2020-08-23,62
2020-08-30,37
2020-09-06,0
2020-09-13,48
2020-09-20,25
2020-09-27,0
2020-10-04,13
2020-10-11,26
2020-10-18,80
2020-10-25,25
2020-11-01,25
2020-11-08,40
2020-11-15,13
2020-11-22,13
2020-11-29,26
2020-12-06,40
2020-12-13,24
2020-12-20,13
2020-12-27,0
2021-01-03,25
2021-01-10,25
2021-01-17,0
2021-01-24,47
2021-01-31,23
2021-02-07,36
2021-02-14,12
2021-02-21,36
2021-02-28,12
2021-03-07,0
2021-03-14,11
2021-03-21,0
2021-03-28,37
2021-04-04,13
2021-04-11,27
2021-04-18,62
2021-04-25,49
2021-05-02,24
2021-05-09,12
2021-05-16,12
2021-05-23,0
2021-05-30,24
2021-06-06,37
2021-06-13,33
2021-06-20,48
2021-06-27,12
2021-07-04,23
2021-07-11,34
2021-07-18,24
2021-07-25,12
2021-08-01,67
2021-08-08,35
2021-08-15,43
2021-08-22,0
2021-08-29,36
2021-09-05,13
2021-09-12,12
2021-09-19,0
2021-09-26,12
2021-10-03,25
2021-10-10,40
2021-10-17,27
2021-10-24,26
2021-10-31,12
2021-11-07,25
2021-11-14,0
2021-11-21,13
2021-11-28,25
2021-12-05,13
2021-12-12,26
2021-12-19,40
2021-12-26,14
2022-01-02,0
2022-01-09,25
2022-01-16,13
2022-01-23,52
2022-01-30,39
2022-02-06,27
2022-02-13,26
2022-02-20,40
2022-02-27,0
2022-03-06,27
2022-03-13,13
2022-03-20,68
2022-03-27,51
2022-04-03,49
2022-04-10,0
