Category: All categories

Week,Travel: (United States)
2020-01-26,42
2020-02-02,42
2020-02-09,41
2020-02-16,42
2020-02-23,54
2020-03-01,61
2020-03-08,100
2020-03-15,71
2020-03-22,38
2020-03-29,38
2020-04-05,33
2020-04-12,32
2020-04-19,31
2020-04-26,32
2020-05-03,35
2020-05-10,36
2020-05-17,38
2020-05-24,37
2020-05-31,35
2020-06-07,38
2020-06-14,41
2020-06-21,49
2020-06-28,50
2020-07-05,47
2020-07-12,48
2020-07-19,47
2020-07-26,48
2020-08-02,45
2020-08-09,43
2020-08-16,40
2020-08-23,40
2020-08-30,38
2020-09-06,41
2020-09-13,38
2020-09-20,40
2020-09-27,38
2020-10-04,39
2020-10-11,40
2020-10-18,39
2020-10-25,37
2020-11-01,32
2020-11-08,40
2020-11-15,46
2020-11-22,38
2020-11-29,40
2020-12-06,38
2020-12-13,37
2020-12-20,36
2020-12-27,37
2021-01-03,38
2021-01-10,40
2021-01-17,39
2021-01-24,42
2021-01-31,38
2021-02-07,41
2021-02-14,43
2021-02-21,43
2021-02-28,45
2021-03-07,45
2021-03-14,45
2021-03-21,45
2021-03-28,46
2021-04-04,47
2021-04-11,46
2021-04-18,50
2021-04-25,49
2021-05-02,48
2021-05-09,48
2021-05-16,49
2021-05-23,50
2021-05-30,50
2021-06-06,51
2021-06-13,51
2021-06-20,50
2021-06-27,50
2021-07-04,50
2021-07-11,51
2021-07-18,51
2021-07-25,49
2021-08-01,49
2021-08-08,49
2021-08-15,46
2021-08-22,47
2021-08-29,51
2021-09-05,43
2021-09-12,42
2021-09-19,42
2021-09-26,42
2021-10-03,40
2021-10-10,44
2021-10-17,41
2021-10-24,41
2021-10-31,41
2021-11-07,43
2021-11-14,42
2021-11-21,42
2021-11-28,50
2021-12-05,44
2021-12-12,44
2021-12-19,44
2021-12-26,44
2022-01-02,48
2022-01-09,45
2022-01-16,44
2022-01-23,45
2022-01-30,51
2022-02-06,45
2022-02-13,44
2022-02-20,48
2022-02-27,46
2022-03-06,47
2022-03-13,45
2022-03-20,45
2022-03-27,44
2022-04-03,45
2022-04-10,44
