Category: All categories

Week,Travel: (India)
2020-01-26,55
2020-02-02,57
2020-02-09,55
2020-02-16,59
2020-02-23,61
2020-03-01,63
2020-03-08,68
2020-03-15,62
2020-03-22,45
2020-03-29,36
2020-04-05,39
2020-04-12,42
2020-04-19,42
2020-04-26,69
2020-05-03,100
2020-05-10,88
2020-05-17,94
2020-05-24,81
2020-05-31,82
2020-06-07,74
2020-06-14,58
2020-06-21,57
2020-06-28,63
2020-07-05,60
2020-07-12,55
2020-07-19,55
2020-07-26,59
2020-08-02,56
2020-08-09,56
2020-08-16,57
2020-08-23,61
2020-08-30,58
2020-09-06,54
2020-09-13,53
2020-09-20,49
2020-09-27,51
2020-10-04,47
2020-10-11,47
2020-10-18,45
2020-10-25,45
2020-11-01,46
2020-11-08,46
2020-11-15,54
2020-11-22,60
2020-11-29,54
2020-12-06,55
2020-12-13,58
2020-12-20,58
2020-12-27,57
2021-01-03,57
2021-01-10,53
2021-01-17,55
2021-01-24,59
2021-01-31,55
2021-02-07,55
2021-02-14,55
2021-02-21,64
2021-02-28,59
2021-03-07,63
2021-03-14,61
2021-03-21,64
2021-03-28,68
2021-04-04,65
2021-04-11,62
2021-04-18,74
2021-04-25,69
2021-05-02,74
2021-05-09,76
2021-05-16,73
2021-05-23,75
2021-05-30,83
2021-06-06,82
2021-06-13,80
2021-06-20,81
2021-06-27,86
2021-07-04,81
2021-07-11,78
2021-07-18,73
2021-07-25,73
2021-08-01,78
2021-08-08,78
2021-08-15,75
2021-08-22,75
2021-08-29,72
2021-09-05,66
2021-09-12,67
2021-09-19,70
2021-09-26,65
2021-10-03,63
2021-10-10,63
2021-10-17,65
2021-10-24,64
2021-10-31,61
2021-11-07,72
2021-11-14,72
2021-11-21,72
2021-11-28,95
2021-12-05,90
2021-12-12,77
2021-12-19,75
2021-12-26,67
2022-01-02,71
2022-01-09,63
2022-01-16,61
2022-01-23,60
2022-01-30,60
2022-02-06,57
2022-02-13,57
2022-02-20,59
2022-02-27,59
2022-03-06,57
2022-03-13,59
2022-03-20,61
2022-03-27,54
2022-04-03,62
2022-04-10,58
