Category: All categories

Week,Travel: (Brazil)
2020-01-26,91
2020-02-02,86
2020-02-09,89
2020-02-16,89
2020-02-23,95
2020-03-01,99
2020-03-08,100
2020-03-15,81
2020-03-22,59
2020-03-29,60
2020-04-05,52
2020-04-12,62
2020-04-19,59
2020-04-26,55
2020-05-03,58
2020-05-10,61
2020-05-17,62
2020-05-24,60
2020-05-31,54
2020-06-07,61
2020-06-14,61
2020-06-21,64
2020-06-28,63
2020-07-05,59
2020-07-12,60
2020-07-19,63
2020-07-26,65
2020-08-02,67
2020-08-09,62
2020-08-16,63
2020-08-23,67
2020-08-30,68
2020-09-06,66
2020-09-13,61
2020-09-20,76
2020-09-27,77
2020-10-04,78
2020-10-11,74
2020-10-18,82
2020-10-25,80
2020-11-01,79
2020-11-08,84
2020-11-15,62
2020-11-22,74
2020-11-29,65
2020-12-06,65
2020-12-13,63
2020-12-20,63
2020-12-27,68
2021-01-03,65
2021-01-10,79
2021-01-17,73
2021-01-24,74
2021-01-31,62
2021-02-07,66
2021-02-14,66
2021-02-21,60
2021-02-28,65
2021-03-07,60
2021-03-14,56
2021-03-21,62
2021-03-28,60
2021-04-04,60
2021-04-11,63
2021-04-18,68
2021-04-25,75
2021-05-02,60
2021-05-09,66
2021-05-16,67
2021-05-23,69
2021-05-30,66
2021-06-06,68
2021-06-13,73
2021-06-20,71
2021-06-27,71
2021-07-04,67
2021-07-11,63
2021-07-18,74
2021-07-25,64
2021-08-01,71
2021-08-08,68
2021-08-15,70
2021-08-22,68
2021-08-29,74
2021-09-05,75
2021-09-12,80
2021-09-19,75
2021-09-26,76
2021-10-03,76
2021-10-10,72
2021-10-17,70
2021-10-24,85
2021-10-31,74
2021-11-07,85
2021-11-14,79
2021-11-21,83
2021-11-28,87
2021-12-05,80
2021-12-12,72
2021-12-19,72
2021-12-26,75
2022-01-02,79
2022-01-09,81
2022-01-16,77
2022-01-23,77
2022-01-30,83
2022-02-06,77
2022-02-13,82
2022-02-20,78
2022-02-27,74
2022-03-06,78
2022-03-13,83
2022-03-20,79
2022-03-27,75
2022-04-03,81
2022-04-10,80
