Category: All categories

Week,Travel: (Canada)
2020-01-26,37
2020-02-02,37
2020-02-09,34
2020-02-16,36
2020-02-23,46
2020-03-01,53
2020-03-08,100
2020-03-15,50
2020-03-22,21
2020-03-29,17
2020-04-05,16
2020-04-12,17
2020-04-19,16
2020-04-26,17
2020-05-03,20
2020-05-10,21
2020-05-17,24
2020-05-24,23
2020-05-31,27
2020-06-07,29
2020-06-14,29
2020-06-21,30
2020-06-28,33
2020-07-05,27
2020-07-12,28
2020-07-19,26
2020-07-26,25
2020-08-02,27
2020-08-09,25
2020-08-16,22
2020-08-23,22
2020-08-30,21
2020-09-06,20
2020-09-13,20
2020-09-20,19
2020-09-27,20
2020-10-04,19
2020-10-11,20
2020-10-18,20
2020-10-25,19
2020-11-01,16
2020-11-08,19
2020-11-15,22
2020-11-22,20
2020-11-29,19
2020-12-06,21
2020-12-13,20
2020-12-20,20
2020-12-27,21
2021-01-03,22
2021-01-10,20
2021-01-17,22
2021-01-24,35
2021-01-31,22
2021-02-07,19
2021-02-14,18
2021-02-21,19
2021-02-28,19
2021-03-07,19
2021-03-14,20
2021-03-21,20
2021-03-28,20
2021-04-04,21
2021-04-11,22
2021-04-18,38
2021-04-25,23
2021-05-02,23
2021-05-09,23
2021-05-16,26
2021-05-23,31
2021-05-30,27
2021-06-06,38
2021-06-13,38
2021-06-20,45
2021-06-27,38
2021-07-04,45
2021-07-11,44
2021-07-18,49
2021-07-25,41
2021-08-01,41
2021-08-08,43
2021-08-15,40
2021-08-22,39
2021-08-29,37
2021-09-05,35
2021-09-12,37
2021-09-19,39
2021-09-26,40
2021-10-03,44
2021-10-10,44
2021-10-17,42
2021-10-24,40
2021-10-31,40
2021-11-07,39
2021-11-14,39
2021-11-21,40
2021-11-28,59
2021-12-05,45
2021-12-12,70
2021-12-19,44
2021-12-26,33
2022-01-02,39
2022-01-09,36
2022-01-16,34
2022-01-23,37
2022-01-30,38
2022-02-06,43
2022-02-13,47
2022-02-20,45
2022-02-27,46
2022-03-06,46
2022-03-13,47
2022-03-20,40
2022-03-27,40
2022-04-03,39
2022-04-10,38
