Category: All categories

Week,covid: (Spain)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,1
2020-03-08,9
2020-03-15,20
2020-03-22,22
2020-03-29,21
2020-04-05,21
2020-04-12,22
2020-04-19,21
2020-04-26,23
2020-05-03,23
2020-05-10,23
2020-05-17,23
2020-05-24,20
2020-05-31,17
2020-06-07,14
2020-06-14,15
2020-06-21,16
2020-06-28,14
2020-07-05,17
2020-07-12,24
2020-07-19,25
2020-07-26,28
2020-08-02,27
2020-08-09,33
2020-08-16,35
2020-08-23,35
2020-08-30,30
2020-09-06,28
2020-09-13,30
2020-09-20,29
2020-09-27,27
2020-10-04,24
2020-10-11,28
2020-10-18,33
2020-10-25,41
2020-11-01,33
2020-11-08,35
2020-11-15,27
2020-11-22,22
2020-11-29,21
2020-12-06,24
2020-12-13,31
2020-12-20,30
2020-12-27,30
2021-01-03,34
2021-01-10,46
2021-01-17,50
2021-01-24,48
2021-01-31,40
2021-02-07,36
2021-02-14,32
2021-02-21,30
2021-02-28,29
2021-03-07,26
2021-03-14,25
2021-03-21,28
2021-03-28,29
2021-04-04,32
2021-04-11,32
2021-04-18,29
2021-04-25,29
2021-05-02,29
2021-05-09,29
2021-05-16,27
2021-05-23,28
2021-05-30,31
2021-06-06,36
2021-06-13,34
2021-06-20,36
2021-06-27,51
2021-07-04,60
2021-07-11,64
2021-07-18,64
2021-07-25,58
2021-08-01,48
2021-08-08,40
2021-08-15,31
2021-08-22,27
2021-08-29,23
2021-09-05,20
2021-09-12,18
2021-09-19,16
2021-09-26,16
2021-10-03,15
2021-10-10,14
2021-10-17,14
2021-10-24,14
2021-10-31,13
2021-11-07,15
2021-11-14,25
2021-11-21,38
2021-11-28,57
2021-12-05,51
2021-12-12,63
2021-12-19,100
2021-12-26,82
2022-01-02,62
2022-01-09,56
2022-01-16,48
2022-01-23,39
2022-01-30,30
2022-02-06,24
2022-02-13,18
2022-02-20,16
2022-02-27,15
2022-03-06,13
2022-03-13,13
2022-03-20,13
2022-03-27,11
2022-04-03,11
2022-04-10,11
