类别：所有类别

周,covid: (全球)
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,1
2020-02-23,3
2020-03-01,7
2020-03-08,24
2020-03-15,63
2020-03-22,79
2020-03-29,75
2020-04-05,71
2020-04-12,63
2020-04-19,56
2020-04-26,56
2020-05-03,52
2020-05-10,52
2020-05-17,47
2020-05-24,44
2020-05-31,40
2020-06-07,40
2020-06-14,42
2020-06-21,47
2020-06-28,49
2020-07-05,51
2020-07-12,53
2020-07-19,49
2020-07-26,51
2020-08-02,47
2020-08-09,43
2020-08-16,44
2020-08-23,40
2020-08-30,40
2020-09-06,43
2020-09-13,42
2020-09-20,42
2020-09-27,44
2020-10-04,47
2020-10-11,47
2020-10-18,49
2020-10-25,56
2020-11-01,49
2020-11-08,56
2020-11-15,60
2020-11-22,52
2020-11-29,51
2020-12-06,54
2020-12-13,56
2020-12-20,58
2020-12-27,61
2021-01-03,64
2021-01-10,63
2021-01-17,59
2021-01-24,57
2021-01-31,54
2021-02-07,50
2021-02-14,47
2021-02-21,50
2021-02-28,56
2021-03-07,57
2021-03-14,58
2021-03-21,60
2021-03-28,64
2021-04-04,64
2021-04-11,63
2021-04-18,61
2021-04-25,68
2021-05-02,61
2021-05-09,60
2021-05-16,56
2021-05-23,54
2021-05-30,57
2021-06-06,49
2021-06-13,48
2021-06-20,56
2021-06-27,53
2021-07-04,54
2021-07-11,60
2021-07-18,65
2021-07-25,65
2021-08-01,70
2021-08-08,65
2021-08-15,64
2021-08-22,62
2021-08-29,60
2021-09-05,51
2021-09-12,51
2021-09-19,43
2021-09-26,43
2021-10-03,40
2021-10-10,39
2021-10-17,39
2021-10-24,37
2021-10-31,38
2021-11-07,39
2021-11-14,42
2021-11-21,47
2021-11-28,50
2021-12-05,47
2021-12-12,67
2021-12-19,75
2021-12-26,92
2022-01-02,100
2022-01-09,85
2022-01-16,91
2022-01-23,55
2022-01-30,45
2022-02-06,36
2022-02-13,32
2022-02-20,29
2022-02-27,25
2022-03-06,25
2022-03-13,26
2022-03-20,24
2022-03-27,22
2022-04-03,22
2022-04-10,20
