Category: All categories

Week,covid: (United Kingdom)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,3
2020-03-08,11
2020-03-15,27
2020-03-22,34
2020-03-29,27
2020-04-05,25
2020-04-12,21
2020-04-19,19
2020-04-26,20
2020-05-03,20
2020-05-10,23
2020-05-17,19
2020-05-24,18
2020-05-31,19
2020-06-07,17
2020-06-14,17
2020-06-21,18
2020-06-28,20
2020-07-05,19
2020-07-12,18
2020-07-19,18
2020-07-26,22
2020-08-02,21
2020-08-09,20
2020-08-16,20
2020-08-23,20
2020-08-30,22
2020-09-06,36
2020-09-13,39
2020-09-20,43
2020-09-27,35
2020-10-04,35
2020-10-11,45
2020-10-18,36
2020-10-25,37
2020-11-01,31
2020-11-08,30
2020-11-15,28
2020-11-22,33
2020-11-29,29
2020-12-06,32
2020-12-13,50
2020-12-20,52
2020-12-27,54
2021-01-03,62
2021-01-10,55
2021-01-17,46
2021-01-24,40
2021-01-31,38
2021-02-07,34
2021-02-14,35
2021-02-21,38
2021-02-28,36
2021-03-07,36
2021-03-14,39
2021-03-21,39
2021-03-28,33
2021-04-04,32
2021-04-11,34
2021-04-18,32
2021-04-25,38
2021-05-02,31
2021-05-09,34
2021-05-16,37
2021-05-23,34
2021-05-30,39
2021-06-06,36
2021-06-13,38
2021-06-20,42
2021-06-27,40
2021-07-04,42
2021-07-11,49
2021-07-18,48
2021-07-25,36
2021-08-01,39
2021-08-08,33
2021-08-15,35
2021-08-22,36
2021-08-29,35
2021-09-05,33
2021-09-12,32
2021-09-19,30
2021-09-26,28
2021-10-03,29
2021-10-10,31
2021-10-17,36
2021-10-24,32
2021-10-31,31
2021-11-07,34
2021-11-14,36
2021-11-21,37
2021-11-28,48
2021-12-05,53
2021-12-12,100
2021-12-19,70
2021-12-26,66
2022-01-02,53
2022-01-09,38
2022-01-16,48
2022-01-23,32
2022-01-30,28
2022-02-06,25
2022-02-13,21
2022-02-20,22
2022-02-27,18
2022-03-06,22
2022-03-13,27
2022-03-20,29
2022-03-27,26
2022-04-03,23
2022-04-10,18
