Category: All categories

Week,social distance: (United States)
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,2
2020-03-08,30
2020-03-15,100
2020-03-22,77
2020-03-29,62
2020-04-05,41
2020-04-12,33
2020-04-19,26
2020-04-26,27
2020-05-03,25
2020-05-10,21
2020-05-17,22
2020-05-24,19
2020-05-31,14
2020-06-07,14
2020-06-14,13
2020-06-21,13
2020-06-28,13
2020-07-05,13
2020-07-12,14
2020-07-19,14
2020-07-26,12
2020-08-02,12
2020-08-09,12
2020-08-16,13
2020-08-23,12
2020-08-30,11
2020-09-06,11
2020-09-13,10
2020-09-20,10
2020-09-27,8
2020-10-04,8
2020-10-11,10
2020-10-18,15
2020-10-25,9
2020-11-01,6
2020-11-08,7
2020-11-15,8
2020-11-22,5
2020-11-29,7
2020-12-06,8
2020-12-13,6
2020-12-20,4
2020-12-27,4
2021-01-03,4
2021-01-10,4
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,5
2021-02-14,3
2021-02-21,4
2021-02-28,4
2021-03-07,4
2021-03-14,4
2021-03-21,4
2021-03-28,3
2021-04-04,4
2021-04-11,4
2021-04-18,3
2021-04-25,3
2021-05-02,3
2021-05-09,4
2021-05-16,3
2021-05-23,3
2021-05-30,2
2021-06-06,2
2021-06-13,2
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,2
2021-07-25,2
2021-08-01,2
2021-08-08,2
2021-08-15,2
2021-08-22,3
2021-08-29,2
2021-09-05,3
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,1
2021-11-07,2
2021-11-14,2
2021-11-21,1
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,3
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,1
2022-03-27,2
2022-04-03,2
2022-04-10,1
