Category: All categories

Week,social distance: (South Korea)
2020-01-26,0
2020-02-02,0
2020-02-09,6
2020-02-16,0
2020-02-23,0
2020-03-01,21
2020-03-08,32
2020-03-15,59
2020-03-22,100
2020-03-29,63
2020-04-05,61
2020-04-12,25
2020-04-19,34
2020-04-26,5
2020-05-03,5
2020-05-10,25
2020-05-17,20
2020-05-24,36
2020-05-31,30
2020-06-07,25
2020-06-14,5
2020-06-21,20
2020-06-28,15
2020-07-05,5
2020-07-12,10
2020-07-19,15
2020-07-26,16
2020-08-02,5
2020-08-09,5
2020-08-16,11
2020-08-23,10
2020-08-30,23
2020-09-06,0
2020-09-13,0
2020-09-20,5
2020-09-27,0
2020-10-04,11
2020-10-11,0
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,12
2020-11-15,11
2020-11-22,0
2020-11-29,11
2020-12-06,16
2020-12-13,16
2020-12-20,6
2020-12-27,5
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,11
2021-02-07,0
2021-02-14,0
2021-02-21,5
2021-02-28,0
2021-03-07,10
2021-03-14,10
2021-03-21,10
2021-03-28,10
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,5
2021-05-02,0
2021-05-09,15
2021-05-16,10
2021-05-23,20
2021-05-30,20
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,10
2021-07-11,5
2021-07-18,10
2021-07-25,15
2021-08-01,5
2021-08-08,0
2021-08-15,0
2021-08-22,6
2021-08-29,10
2021-09-05,5
2021-09-12,16
2021-09-19,0
2021-09-26,16
2021-10-03,5
2021-10-10,5
2021-10-17,0
2021-10-24,6
2021-10-31,6
2021-11-07,0
2021-11-14,0
2021-11-21,6
2021-11-28,11
2021-12-05,0
2021-12-12,11
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,5
2022-01-16,5
2022-01-23,0
2022-01-30,6
2022-02-06,5
2022-02-13,5
2022-02-20,0
2022-02-27,0
2022-03-06,5
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,5
2022-04-10,0
