Category: All categories

Week,social distance: (France)
2020-01-26,36
2020-02-02,19
2020-02-09,30
2020-02-16,23
2020-02-23,3
2020-03-01,27
2020-03-08,16
2020-03-15,51
2020-03-22,39
2020-03-29,42
2020-04-05,45
2020-04-12,81
2020-04-19,45
2020-04-26,43
2020-05-03,100
2020-05-10,65
2020-05-17,27
2020-05-24,52
2020-05-31,52
2020-06-07,55
2020-06-14,34
2020-06-21,41
2020-06-28,53
2020-07-05,25
2020-07-12,32
2020-07-19,29
2020-07-26,35
2020-08-02,24
2020-08-09,55
2020-08-16,29
2020-08-23,25
2020-08-30,31
2020-09-06,38
2020-09-13,55
2020-09-20,81
2020-09-27,42
2020-10-04,36
2020-10-11,53
2020-10-18,59
2020-10-25,41
2020-11-01,56
2020-11-08,74
2020-11-15,48
2020-11-22,63
2020-11-29,40
2020-12-06,29
2020-12-13,36
2020-12-20,31
2020-12-27,19
2021-01-03,45
2021-01-10,23
2021-01-17,36
2021-01-24,31
2021-01-31,38
2021-02-07,28
2021-02-14,26
2021-02-21,38
2021-02-28,32
2021-03-07,32
2021-03-14,38
2021-03-21,29
2021-03-28,30
2021-04-04,28
2021-04-11,31
2021-04-18,38
2021-04-25,22
2021-05-02,37
2021-05-09,25
2021-05-16,29
2021-05-23,24
2021-05-30,47
2021-06-06,42
2021-06-13,24
2021-06-20,21
2021-06-27,23
2021-07-04,15
2021-07-11,25
2021-07-18,33
2021-07-25,41
2021-08-01,13
2021-08-08,17
2021-08-15,23
2021-08-22,20
2021-08-29,35
2021-09-05,26
2021-09-12,29
2021-09-19,16
2021-09-26,22
2021-10-03,22
2021-10-10,30
2021-10-17,23
2021-10-24,36
2021-10-31,26
2021-11-07,29
2021-11-14,35
2021-11-21,28
2021-11-28,34
2021-12-05,26
2021-12-12,34
2021-12-19,16
2021-12-26,35
2022-01-02,18
2022-01-09,17
2022-01-16,28
2022-01-23,14
2022-01-30,25
2022-02-06,44
2022-02-13,26
2022-02-20,22
2022-02-27,29
2022-03-06,37
2022-03-13,18
2022-03-20,52
2022-03-27,17
2022-04-03,39
2022-04-10,22
