Category: All categories

Week,social distance: (Brazil)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,8
2020-03-01,0
2020-03-08,14
2020-03-15,55
2020-03-22,100
2020-03-29,51
2020-04-05,98
2020-04-12,77
2020-04-19,19
2020-04-26,26
2020-05-03,19
2020-05-10,25
2020-05-17,56
2020-05-24,19
2020-05-31,6
2020-06-07,32
2020-06-14,13
2020-06-21,20
2020-06-28,32
2020-07-05,20
2020-07-12,0
2020-07-19,14
2020-07-26,7
2020-08-02,0
2020-08-09,33
2020-08-16,7
2020-08-23,0
2020-08-30,13
2020-09-06,20
2020-09-13,13
2020-09-20,20
2020-09-27,7
2020-10-04,0
2020-10-11,0
2020-10-18,14
2020-10-25,21
2020-11-01,7
2020-11-08,14
2020-11-15,0
2020-11-22,20
2020-11-29,0
2020-12-06,14
2020-12-13,21
2020-12-20,8
2020-12-27,0
2021-01-03,0
2021-01-10,7
2021-01-17,21
2021-01-24,0
2021-01-31,22
2021-02-07,28
2021-02-14,0
2021-02-21,7
2021-02-28,14
2021-03-07,7
2021-03-14,6
2021-03-21,7
2021-03-28,7
2021-04-04,0
2021-04-11,7
2021-04-18,7
2021-04-25,13
2021-05-02,7
2021-05-09,14
2021-05-16,7
2021-05-23,7
2021-05-30,14
2021-06-06,27
2021-06-13,21
2021-06-20,56
2021-06-27,14
2021-07-04,21
2021-07-11,14
2021-07-18,15
2021-07-25,21
2021-08-01,7
2021-08-08,21
2021-08-15,7
2021-08-22,0
2021-08-29,8
2021-09-05,0
2021-09-12,8
2021-09-19,24
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,8
2021-12-05,8
2021-12-12,0
2021-12-19,0
2021-12-26,20
2022-01-02,0
2022-01-09,0
2022-01-16,8
2022-01-23,15
2022-01-30,0
2022-02-06,8
2022-02-13,8
2022-02-20,0
2022-02-27,17
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,8
