Category: All categories

Week,social distance: (Hong Kong)
2020-01-26,14
2020-02-02,18
2020-02-09,6
2020-02-16,0
2020-02-23,11
2020-03-01,5
2020-03-08,5
2020-03-15,21
2020-03-22,100
2020-03-29,73
2020-04-05,64
2020-04-12,27
2020-04-19,16
2020-04-26,38
2020-05-03,21
2020-05-10,48
2020-05-17,32
2020-05-24,27
2020-05-31,36
2020-06-07,20
2020-06-14,11
2020-06-21,11
2020-06-28,11
2020-07-05,16
2020-07-12,27
2020-07-19,16
2020-07-26,16
2020-08-02,37
2020-08-09,5
2020-08-16,32
2020-08-23,21
2020-08-30,10
2020-09-06,15
2020-09-13,15
2020-09-20,16
2020-09-27,12
2020-10-04,6
2020-10-11,0
2020-10-18,25
2020-10-25,37
2020-11-01,23
2020-11-08,12
2020-11-15,55
2020-11-22,12
2020-11-29,50
2020-12-06,36
2020-12-13,24
2020-12-20,0
2020-12-27,7
2021-01-03,18
2021-01-10,6
2021-01-17,36
2021-01-24,24
2021-01-31,12
2021-02-07,14
2021-02-14,19
2021-02-21,0
2021-02-28,18
2021-03-07,0
2021-03-14,6
2021-03-21,13
2021-03-28,0
2021-04-04,0
2021-04-11,6
2021-04-18,6
2021-04-25,0
2021-05-02,0
2021-05-09,12
2021-05-16,0
2021-05-23,0
2021-05-30,6
2021-06-06,13
2021-06-13,0
2021-06-20,0
2021-06-27,13
2021-07-04,0
2021-07-11,0
2021-07-18,7
2021-07-25,0
2021-08-01,6
2021-08-08,6
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,7
2021-09-19,0
2021-09-26,21
2021-10-03,0
2021-10-10,7
2021-10-17,0
2021-10-24,0
2021-10-31,7
2021-11-07,0
2021-11-14,0
2021-11-21,7
2021-11-28,7
2021-12-05,7
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,14
2022-01-09,7
2022-01-16,0
2022-01-23,7
2022-01-30,0
2022-02-06,7
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,7
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,12
2022-04-10,0
