Week,Immigration: (Iran)
2020-01-26,35
2020-02-02,36
2020-02-09,30
2020-02-16,27
2020-02-23,28
2020-03-01,22
2020-03-08,24
2020-03-15,23
2020-03-22,23
2020-03-29,27
2020-04-05,29
2020-04-12,26
2020-04-19,25
2020-04-26,24
2020-05-03,28
2020-05-10,22
2020-05-17,27
2020-05-24,26
2020-05-31,27
2020-06-07,29
2020-06-14,30
2020-06-21,29
2020-06-28,27
2020-07-05,31
2020-07-12,37
2020-07-19,32
2020-07-26,32
2020-08-02,32
2020-08-09,29
2020-08-16,30
2020-08-23,26
2020-08-30,32
2020-09-06,30
2020-09-13,30
2020-09-20,35
2020-09-27,28
2020-10-04,29
2020-10-11,30
2020-10-18,48
2020-10-25,37
2020-11-01,38
2020-11-08,34
2020-11-15,31
2020-11-22,26
2020-11-29,31
2020-12-06,27
2020-12-13,25
2020-12-20,28
2020-12-27,35
2021-01-03,35
2021-01-10,31
2021-01-17,29
2021-01-24,25
2021-01-31,24
2021-02-07,25
2021-02-14,22
2021-02-21,24
2021-02-28,24
2021-03-07,21
2021-03-14,18
2021-03-21,26
2021-03-28,28
2021-04-04,26
2021-04-11,24
2021-04-18,25
2021-04-25,27
2021-05-02,27
2021-05-09,25
2021-05-16,29
2021-05-23,31
2021-05-30,31
2021-06-06,33
2021-06-13,29
2021-06-20,32
2021-06-27,34
2021-07-04,39
2021-07-11,39
2021-07-18,41
2021-07-25,100
2021-08-01,53
2021-08-08,53
2021-08-15,67
2021-08-22,60
2021-08-29,54
2021-09-05,42
2021-09-12,36
2021-09-19,37
2021-09-26,37
2021-10-03,34
2021-10-10,33
2021-10-17,29
2021-10-24,30
2021-10-31,28
2021-11-07,29
2021-11-14,32
2021-11-21,31
2021-11-28,30
2021-12-05,31
2021-12-12,31
2021-12-19,30
2021-12-26,29
2022-01-02,32
2022-01-09,30
2022-01-16,25
2022-01-23,26
2022-01-30,25
2022-02-06,24
2022-02-13,28
2022-02-20,29
2022-02-27,24
2022-03-06,19
2022-03-13,19
2022-03-20,20
2022-03-27,25
2022-04-03,30
2022-04-10,30
