Category: All categories

Week,immigration: (Germany)
2020-01-26,58
2020-02-02,65
2020-02-09,65
2020-02-16,84
2020-02-23,70
2020-03-01,85
2020-03-08,100
2020-03-15,66
2020-03-22,45
2020-03-29,36
2020-04-05,34
2020-04-12,38
2020-04-19,73
2020-04-26,46
2020-05-03,64
2020-05-10,53
2020-05-17,64
2020-05-24,59
2020-05-31,60
2020-06-07,55
2020-06-14,64
2020-06-21,54
2020-06-28,49
2020-07-05,46
2020-07-12,46
2020-07-19,40
2020-07-26,35
2020-08-02,58
2020-08-09,55
2020-08-16,54
2020-08-23,54
2020-08-30,55
2020-09-06,57
2020-09-13,66
2020-09-20,58
2020-09-27,67
2020-10-04,54
2020-10-11,48
2020-10-18,50
2020-10-25,56
2020-11-01,53
2020-11-08,60
2020-11-15,55
2020-11-22,50
2020-11-29,64
2020-12-06,62
2020-12-13,45
2020-12-20,39
2020-12-27,43
2021-01-03,55
2021-01-10,53
2021-01-17,74
2021-01-24,59
2021-01-31,57
2021-02-07,51
2021-02-14,49
2021-02-21,54
2021-02-28,58
2021-03-07,55
2021-03-14,49
2021-03-21,47
2021-03-28,37
2021-04-04,51
2021-04-11,53
2021-04-18,54
2021-04-25,53
2021-05-02,55
2021-05-09,54
2021-05-16,50
2021-05-23,45
2021-05-30,51
2021-06-06,57
2021-06-13,47
2021-06-20,40
2021-06-27,48
2021-07-04,52
2021-07-11,45
2021-07-18,33
2021-07-25,38
2021-08-01,38
2021-08-08,35
2021-08-15,59
2021-08-22,49
2021-08-29,48
2021-09-05,52
2021-09-12,49
2021-09-19,51
2021-09-26,70
2021-10-03,61
2021-10-10,46
2021-10-17,52
2021-10-24,62
2021-10-31,63
2021-11-07,70
2021-11-14,60
2021-11-21,58
2021-11-28,66
2021-12-05,72
2021-12-12,59
2021-12-19,66
2021-12-26,53
2022-01-02,68
2022-01-09,88
2022-01-16,77
2022-01-23,82
2022-01-30,66
2022-02-06,70
2022-02-13,66
2022-02-20,72
2022-02-27,66
2022-03-06,82
2022-03-13,77
2022-03-20,85
2022-03-27,63
2022-04-03,66
2022-04-10,63
