Category: All categories

Week,immigration: (United Kingdom)
2020-01-26,61
2020-02-02,52
2020-02-09,53
2020-02-16,100
2020-02-23,58
2020-03-01,55
2020-03-08,50
2020-03-15,41
2020-03-22,36
2020-03-29,32
2020-04-05,32
2020-04-12,32
2020-04-19,44
2020-04-26,32
2020-05-03,36
2020-05-10,41
2020-05-17,61
2020-05-24,35
2020-05-31,38
2020-06-07,71
2020-06-14,45
2020-06-21,39
2020-06-28,45
2020-07-05,44
2020-07-12,50
2020-07-19,43
2020-07-26,42
2020-08-02,41
2020-08-09,50
2020-08-16,42
2020-08-23,41
2020-08-30,41
2020-09-06,47
2020-09-13,49
2020-09-20,42
2020-09-27,46
2020-10-04,49
2020-10-11,40
2020-10-18,44
2020-10-25,41
2020-11-01,40
2020-11-08,49
2020-11-15,37
2020-11-22,37
2020-11-29,44
2020-12-06,40
2020-12-13,40
2020-12-20,38
2020-12-27,35
2021-01-03,41
2021-01-10,47
2021-01-17,40
2021-01-24,41
2021-01-31,38
2021-02-07,39
2021-02-14,39
2021-02-21,38
2021-02-28,38
2021-03-07,37
2021-03-14,41
2021-03-21,43
2021-03-28,39
2021-04-04,35
2021-04-11,37
2021-04-18,39
2021-04-25,39
2021-05-02,37
2021-05-09,56
2021-05-16,44
2021-05-23,41
2021-05-30,38
2021-06-06,43
2021-06-13,43
2021-06-20,39
2021-06-27,42
2021-07-04,42
2021-07-11,40
2021-07-18,43
2021-07-25,36
2021-08-01,41
2021-08-08,37
2021-08-15,41
2021-08-22,40
2021-08-29,37
2021-09-05,40
2021-09-12,42
2021-09-19,44
2021-09-26,45
2021-10-03,45
2021-10-10,46
2021-10-17,40
2021-10-24,39
2021-10-31,39
2021-11-07,42
2021-11-14,45
2021-11-21,47
2021-11-28,43
2021-12-05,42
2021-12-12,41
2021-12-19,36
2021-12-26,28
2022-01-02,42
2022-01-09,51
2022-01-16,45
2022-01-23,44
2022-01-30,45
2022-02-06,46
2022-02-13,42
2022-02-20,42
2022-02-27,46
2022-03-06,46
2022-03-13,45
2022-03-20,48
2022-03-27,44
2022-04-03,44
2022-04-10,48
