Category: All categories

Week,immigration: (Canada)
2020-01-26,66
2020-02-02,69
2020-02-09,66
2020-02-16,68
2020-02-23,70
2020-03-01,72
2020-03-08,64
2020-03-15,54
2020-03-22,39
2020-03-29,41
2020-04-05,40
2020-04-12,40
2020-04-19,54
2020-04-26,44
2020-05-03,43
2020-05-10,51
2020-05-17,47
2020-05-24,58
2020-05-31,60
2020-06-07,60
2020-06-14,60
2020-06-21,61
2020-06-28,58
2020-07-05,65
2020-07-12,64
2020-07-19,63
2020-07-26,59
2020-08-02,59
2020-08-09,63
2020-08-16,64
2020-08-23,59
2020-08-30,55
2020-09-06,54
2020-09-13,58
2020-09-20,58
2020-09-27,60
2020-10-04,71
2020-10-11,70
2020-10-18,63
2020-10-25,70
2020-11-01,62
2020-11-08,63
2020-11-15,61
2020-11-22,53
2020-11-29,58
2020-12-06,53
2020-12-13,55
2020-12-20,44
2020-12-27,45
2021-01-03,62
2021-01-10,61
2021-01-17,62
2021-01-24,57
2021-01-31,57
2021-02-07,63
2021-02-14,76
2021-02-21,63
2021-02-28,65
2021-03-07,56
2021-03-14,60
2021-03-21,56
2021-03-28,51
2021-04-04,51
2021-04-11,86
2021-04-18,76
2021-04-25,67
2021-05-02,100
2021-05-09,71
2021-05-16,56
2021-05-23,60
2021-05-30,59
2021-06-06,53
2021-06-13,56
2021-06-20,56
2021-06-27,47
2021-07-04,58
2021-07-11,60
2021-07-18,59
2021-07-25,55
2021-08-01,55
2021-08-08,59
2021-08-15,63
2021-08-22,61
2021-08-29,59
2021-09-05,54
2021-09-12,60
2021-09-19,65
2021-09-26,70
2021-10-03,65
2021-10-10,59
2021-10-17,61
2021-10-24,66
2021-10-31,58
2021-11-07,58
2021-11-14,66
2021-11-21,60
2021-11-28,59
2021-12-05,59
2021-12-12,60
2021-12-19,52
2021-12-26,45
2022-01-02,58
2022-01-09,65
2022-01-16,66
2022-01-23,67
2022-01-30,67
2022-02-06,68
2022-02-13,86
2022-02-20,64
2022-02-27,70
2022-03-06,66
2022-03-13,66
2022-03-20,65
2022-03-27,64
2022-04-03,65
2022-04-10,57
