Week,Immigration: (Mexico)
2020-01-26,44
2020-02-02,47
2020-02-09,48
2020-02-16,51
2020-02-23,50
2020-03-01,51
2020-03-08,46
2020-03-15,41
2020-03-22,36
2020-03-29,36
2020-04-05,23
2020-04-12,25
2020-04-19,78
2020-04-26,47
2020-05-03,39
2020-05-10,32
2020-05-17,31
2020-05-24,30
2020-05-31,35
2020-06-07,29
2020-06-14,22
2020-06-21,21
2020-06-28,14
2020-07-05,21
2020-07-12,14
2020-07-19,16
2020-07-26,15
2020-08-02,17
2020-08-09,19
2020-08-16,19
2020-08-23,27
2020-08-30,31
2020-09-06,31
2020-09-13,25
2020-09-20,21
2020-09-27,25
2020-10-04,29
2020-10-11,41
2020-10-18,34
2020-10-25,27
2020-11-01,29
2020-11-08,26
2020-11-15,25
2020-11-22,25
2020-11-29,29
2020-12-06,72
2020-12-13,35
2020-12-20,11
2020-12-27,15
2021-01-03,19
2021-01-10,30
2021-01-17,37
2021-01-24,61
2021-01-31,75
2021-02-07,100
2021-02-14,60
2021-02-21,61
2021-02-28,56
2021-03-07,66
2021-03-14,71
2021-03-21,51
2021-03-28,24
2021-04-04,24
2021-04-11,38
2021-04-18,43
2021-04-25,33
2021-05-02,33
2021-05-09,36
2021-05-16,41
2021-05-23,32
2021-05-30,32
2021-06-06,32
2021-06-13,34
2021-06-20,25
2021-06-27,24
2021-07-04,21
2021-07-11,18
2021-07-18,18
2021-07-25,19
2021-08-01,19
2021-08-08,21
2021-08-15,22
2021-08-22,20
2021-08-29,28
2021-09-05,30
2021-09-12,30
2021-09-19,34
2021-09-26,31
2021-10-03,28
2021-10-10,27
2021-10-17,34
2021-10-24,29
2021-10-31,29
2021-11-07,31
2021-11-14,28
2021-11-21,26
2021-11-28,28
2021-12-05,40
2021-12-12,29
2021-12-19,21
2021-12-26,18
2022-01-02,33
2022-01-09,31
2022-01-16,37
2022-01-23,39
2022-01-30,37
2022-02-06,40
2022-02-13,39
2022-02-20,42
2022-02-27,42
2022-03-06,42
2022-03-13,42
2022-03-20,37
2022-03-27,40
2022-04-03,35
2022-04-10,20
