Category: All categories

Week,immigration: (Australia)
2020-01-26,67
2020-02-02,71
2020-02-09,64
2020-02-16,76
2020-02-23,72
2020-03-01,69
2020-03-08,73
2020-03-15,100
2020-03-22,63
2020-03-29,53
2020-04-05,53
2020-04-12,48
2020-04-19,64
2020-04-26,49
2020-05-03,57
2020-05-10,55
2020-05-17,61
2020-05-24,57
2020-05-31,57
2020-06-07,60
2020-06-14,58
2020-06-21,56
2020-06-28,58
2020-07-05,55
2020-07-12,55
2020-07-19,51
2020-07-26,50
2020-08-02,55
2020-08-09,57
2020-08-16,56
2020-08-23,58
2020-08-30,49
2020-09-06,55
2020-09-13,51
2020-09-20,48
2020-09-27,42
2020-10-04,67
2020-10-11,57
2020-10-18,52
2020-10-25,45
2020-11-01,45
2020-11-08,49
2020-11-15,43
2020-11-22,40
2020-11-29,52
2020-12-06,46
2020-12-13,41
2020-12-20,35
2020-12-27,31
2021-01-03,46
2021-01-10,47
2021-01-17,53
2021-01-24,49
2021-01-31,52
2021-02-07,48
2021-02-14,51
2021-02-21,42
2021-02-28,52
2021-03-07,49
2021-03-14,49
2021-03-21,51
2021-03-28,42
2021-04-04,40
2021-04-11,45
2021-04-18,45
2021-04-25,43
2021-05-02,44
2021-05-09,54
2021-05-16,51
2021-05-23,46
2021-05-30,45
2021-06-06,45
2021-06-13,47
2021-06-20,48
2021-06-27,53
2021-07-04,48
2021-07-11,44
2021-07-18,43
2021-07-25,41
2021-08-01,43
2021-08-08,43
2021-08-15,46
2021-08-22,50
2021-08-29,43
2021-09-05,39
2021-09-12,43
2021-09-19,34
2021-09-26,46
2021-10-03,36
2021-10-10,46
2021-10-17,47
2021-10-24,43
2021-10-31,49
2021-11-07,47
2021-11-14,48
2021-11-21,49
2021-11-28,47
2021-12-05,42
2021-12-12,41
2021-12-19,36
2021-12-26,28
2022-01-02,47
2022-01-09,73
2022-01-16,49
2022-01-23,46
2022-01-30,51
2022-02-06,53
2022-02-13,50
2022-02-20,52
2022-02-27,49
2022-03-06,51
2022-03-13,57
2022-03-20,57
2022-03-27,48
2022-04-03,54
2022-04-10,48
