Category: All categories

Week,Immigration: (Thailand)
2020-01-26,49
2020-02-02,49
2020-02-09,53
2020-02-16,54
2020-02-23,53
2020-03-01,59
2020-03-08,60
2020-03-15,100
2020-03-22,95
2020-03-29,77
2020-04-05,80
2020-04-12,39
2020-04-19,48
2020-04-26,35
2020-05-03,29
2020-05-10,26
2020-05-17,34
2020-05-24,28
2020-05-31,31
2020-06-07,38
2020-06-14,31
2020-06-21,34
2020-06-28,38
2020-07-05,45
2020-07-12,61
2020-07-19,52
2020-07-26,44
2020-08-02,38
2020-08-09,36
2020-08-16,40
2020-08-23,31
2020-08-30,33
2020-09-06,35
2020-09-13,37
2020-09-20,50
2020-09-27,38
2020-10-04,38
2020-10-11,28
2020-10-18,24
2020-10-25,33
2020-11-01,26
2020-11-08,29
2020-11-15,19
2020-11-22,34
2020-11-29,35
2020-12-06,31
2020-12-13,30
2020-12-20,34
2020-12-27,18
2021-01-03,23
2021-01-10,17
2021-01-17,26
2021-01-24,22
2021-01-31,21
2021-02-07,25
2021-02-14,26
2021-02-21,27
2021-02-28,29
2021-03-07,31
2021-03-14,27
2021-03-21,32
2021-03-28,27
2021-04-04,28
2021-04-11,24
2021-04-18,34
2021-04-25,32
2021-05-02,38
2021-05-09,29
2021-05-16,26
2021-05-23,28
2021-05-30,27
2021-06-06,26
2021-06-13,23
2021-06-20,29
2021-06-27,21
2021-07-04,30
2021-07-11,24
2021-07-18,34
2021-07-25,29
2021-08-01,28
2021-08-08,22
2021-08-15,21
2021-08-22,15
2021-08-29,18
2021-09-05,23
2021-09-12,20
2021-09-19,23
2021-09-26,26
2021-10-03,25
2021-10-10,25
2021-10-17,23
2021-10-24,29
2021-10-31,32
2021-11-07,28
2021-11-14,30
2021-11-21,33
2021-11-28,31
2021-12-05,31
2021-12-12,34
2021-12-19,29
2021-12-26,34
2022-01-02,37
2022-01-09,39
2022-01-16,41
2022-01-23,32
2022-01-30,32
2022-02-06,24
2022-02-13,25
2022-02-20,29
2022-02-27,37
2022-03-06,39
2022-03-13,31
2022-03-20,36
2022-03-27,34
2022-04-03,30
2022-04-10,22
