Category: All categories

Week,Immigration: (Hong Kong)
2020-01-26,83
2020-02-02,100
2020-02-09,78
2020-02-16,68
2020-02-23,72
2020-03-01,82
2020-03-08,67
2020-03-15,78
2020-03-22,56
2020-03-29,56
2020-04-05,47
2020-04-12,50
2020-04-19,53
2020-04-26,47
2020-05-03,55
2020-05-10,46
2020-05-17,71
2020-05-24,77
2020-05-31,75
2020-06-07,66
2020-06-14,65
2020-06-21,52
2020-06-28,84
2020-07-05,97
2020-07-12,72
2020-07-19,95
2020-07-26,70
2020-08-02,74
2020-08-09,69
2020-08-16,74
2020-08-23,88
2020-08-30,77
2020-09-06,72
2020-09-13,62
2020-09-20,61
2020-09-27,45
2020-10-04,55
2020-10-11,44
2020-10-18,54
2020-10-25,46
2020-11-01,51
2020-11-08,54
2020-11-15,60
2020-11-22,49
2020-11-29,56
2020-12-06,60
2020-12-13,55
2020-12-20,43
2020-12-27,49
2021-01-03,67
2021-01-10,56
2021-01-17,51
2021-01-24,57
2021-01-31,79
2021-02-07,68
2021-02-14,62
2021-02-21,67
2021-02-28,66
2021-03-07,63
2021-03-14,55
2021-03-21,56
2021-03-28,51
2021-04-04,45
2021-04-11,54
2021-04-18,52
2021-04-25,53
2021-05-02,62
2021-05-09,52
2021-05-16,57
2021-05-23,52
2021-05-30,55
2021-06-06,59
2021-06-13,48
2021-06-20,52
2021-06-27,55
2021-07-04,61
2021-07-11,62
2021-07-18,49
2021-07-25,51
2021-08-01,52
2021-08-08,59
2021-08-15,59
2021-08-22,45
2021-08-29,45
2021-09-05,47
2021-09-12,45
2021-09-19,43
2021-09-26,42
2021-10-03,53
2021-10-10,44
2021-10-17,49
2021-10-24,49
2021-10-31,52
2021-11-07,56
2021-11-14,47
2021-11-21,38
2021-11-28,43
2021-12-05,41
2021-12-12,38
2021-12-19,37
2021-12-26,30
2022-01-02,48
2022-01-09,51
2022-01-16,46
2022-01-23,44
2022-01-30,39
2022-02-06,45
2022-02-13,49
2022-02-20,44
2022-02-27,44
2022-03-06,41
2022-03-13,44
2022-03-20,51
2022-03-27,57
2022-04-03,48
2022-04-10,49
