Week,Immigration: (France)
2020-01-26,67
2020-02-02,60
2020-02-09,51
2020-02-16,60
2020-02-23,54
2020-03-01,58
2020-03-08,57
2020-03-15,49
2020-03-22,54
2020-03-29,56
2020-04-05,50
2020-04-12,45
2020-04-19,54
2020-04-26,45
2020-05-03,55
2020-05-10,57
2020-05-17,46
2020-05-24,49
2020-05-31,47
2020-06-07,46
2020-06-14,48
2020-06-21,49
2020-06-28,45
2020-07-05,50
2020-07-12,44
2020-07-19,41
2020-07-26,39
2020-08-02,40
2020-08-09,46
2020-08-16,47
2020-08-23,45
2020-08-30,38
2020-09-06,45
2020-09-13,45
2020-09-20,52
2020-09-27,54
2020-10-04,51
2020-10-11,59
2020-10-18,54
2020-10-25,55
2020-11-01,64
2020-11-08,61
2020-11-15,61
2020-11-22,57
2020-11-29,53
2020-12-06,53
2020-12-13,47
2020-12-20,41
2020-12-27,48
2021-01-03,49
2021-01-10,53
2021-01-17,47
2021-01-24,51
2021-01-31,44
2021-02-07,49
2021-02-14,51
2021-02-21,45
2021-02-28,50
2021-03-07,56
2021-03-14,52
2021-03-21,53
2021-03-28,50
2021-04-04,53
2021-04-11,45
2021-04-18,49
2021-04-25,60
2021-05-02,54
2021-05-09,52
2021-05-16,63
2021-05-23,51
2021-05-30,49
2021-06-06,46
2021-06-13,48
2021-06-20,40
2021-06-27,40
2021-07-04,38
2021-07-11,41
2021-07-18,36
2021-07-25,40
2021-08-01,36
2021-08-08,41
2021-08-15,52
2021-08-22,50
2021-08-29,50
2021-09-05,44
2021-09-12,51
2021-09-19,67
2021-09-26,63
2021-10-03,68
2021-10-10,74
2021-10-17,66
2021-10-24,58
2021-10-31,65
2021-11-07,68
2021-11-14,62
2021-11-21,61
2021-11-28,57
2021-12-05,63
2021-12-12,65
2021-12-19,56
2021-12-26,47
2022-01-02,56
2022-01-09,56
2022-01-16,58
2022-01-23,67
2022-01-30,68
2022-02-06,60
2022-02-13,57
2022-02-20,64
2022-02-27,62
2022-03-06,67
2022-03-13,65
2022-03-20,66
2022-03-27,69
2022-04-03,72
2022-04-10,100
