Week,Immigration: (Poland)
2020-01-26,8
2020-02-02,8
2020-02-09,7
2020-02-16,8
2020-02-23,8
2020-03-01,13
2020-03-08,8
2020-03-15,9
2020-03-22,9
2020-03-29,10
2020-04-05,8
2020-04-12,7
2020-04-19,7
2020-04-26,8
2020-05-03,8
2020-05-10,7
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,8
2020-06-14,7
2020-06-21,7
2020-06-28,5
2020-07-05,6
2020-07-12,6
2020-07-19,5
2020-07-26,6
2020-08-02,5
2020-08-09,5
2020-08-16,4
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,8
2020-09-20,7
2020-09-27,5
2020-10-04,6
2020-10-11,5
2020-10-18,7
2020-10-25,7
2020-11-01,8
2020-11-08,8
2020-11-15,12
2020-11-22,8
2020-11-29,12
2020-12-06,13
2020-12-13,12
2020-12-20,6
2020-12-27,4
2021-01-03,7
2021-01-10,6
2021-01-17,12
2021-01-24,15
2021-01-31,16
2021-02-07,19
2021-02-14,15
2021-02-21,13
2021-02-28,10
2021-03-07,10
2021-03-14,8
2021-03-21,9
2021-03-28,7
2021-04-04,6
2021-04-11,7
2021-04-18,8
2021-04-25,6
2021-05-02,7
2021-05-09,9
2021-05-16,9
2021-05-23,6
2021-05-30,5
2021-06-06,5
2021-06-13,6
2021-06-20,4
2021-06-27,5
2021-07-04,5
2021-07-11,5
2021-07-18,7
2021-07-25,5
2021-08-01,6
2021-08-08,6
2021-08-15,16
2021-08-22,18
2021-08-29,12
2021-09-05,10
2021-09-12,7
2021-09-19,10
2021-09-26,19
2021-10-03,14
2021-10-10,10
2021-10-17,13
2021-10-24,13
2021-10-31,12
2021-11-07,100
2021-11-14,49
2021-11-21,19
2021-11-28,13
2021-12-05,10
2021-12-12,10
2021-12-19,10
2021-12-26,7
2022-01-02,11
2022-01-09,11
2022-01-16,11
2022-01-23,10
2022-01-30,11
2022-02-06,13
2022-02-13,11
2022-02-20,12
2022-02-27,24
2022-03-06,17
2022-03-13,16
2022-03-20,12
2022-03-27,10
2022-04-03,8
2022-04-10,9
