Category: All categories

Week,WFH: (United States)
2020-01-26,4
2020-02-02,4
2020-02-09,3
2020-02-16,4
2020-02-23,5
2020-03-01,16
2020-03-08,53
2020-03-15,100
2020-03-22,68
2020-03-29,48
2020-04-05,35
2020-04-12,37
2020-04-19,30
2020-04-26,27
2020-05-03,23
2020-05-10,30
2020-05-17,27
2020-05-24,21
2020-05-31,17
2020-06-07,15
2020-06-14,14
2020-06-21,18
2020-06-28,13
2020-07-05,18
2020-07-12,18
2020-07-19,16
2020-07-26,24
2020-08-02,20
2020-08-09,19
2020-08-16,18
2020-08-23,17
2020-08-30,16
2020-09-06,16
2020-09-13,15
2020-09-20,17
2020-09-27,16
2020-10-04,16
2020-10-11,14
2020-10-18,20
2020-10-25,15
2020-11-01,10
2020-11-08,15
2020-11-15,19
2020-11-22,15
2020-11-29,15
2020-12-06,17
2020-12-13,15
2020-12-20,12
2020-12-27,12
2021-01-03,14
2021-01-10,13
2021-01-17,12
2021-01-24,16
2021-01-31,16
2021-02-07,13
2021-02-14,15
2021-02-21,13
2021-02-28,15
2021-03-07,13
2021-03-14,12
2021-03-21,13
2021-03-28,14
2021-04-04,12
2021-04-11,12
2021-04-18,10
2021-04-25,9
2021-05-02,12
2021-05-09,12
2021-05-16,11
2021-05-23,12
2021-05-30,11
2021-06-06,15
2021-06-13,12
2021-06-20,13
2021-06-27,12
2021-07-04,11
2021-07-11,13
2021-07-18,13
2021-07-25,13
2021-08-01,13
2021-08-08,15
2021-08-15,12
2021-08-22,13
2021-08-29,15
2021-09-05,13
2021-09-12,13
2021-09-19,13
2021-09-26,14
2021-10-03,13
2021-10-10,14
2021-10-17,13
2021-10-24,15
2021-10-31,14
2021-11-07,15
2021-11-14,14
2021-11-21,10
2021-11-28,14
2021-12-05,17
2021-12-12,13
2021-12-19,14
2021-12-26,14
2022-01-02,26
2022-01-09,22
2022-01-16,20
2022-01-23,19
2022-01-30,20
2022-02-06,19
2022-02-13,17
2022-02-20,14
2022-02-27,18
2022-03-06,19
2022-03-13,18
2022-03-20,21
2022-03-27,17
2022-04-03,20
2022-04-10,20
