Category: All categories

Week,WFH: (Russia)
2020-01-26,0
2020-02-02,28
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,46
2020-03-08,37
2020-03-15,54
2020-03-22,100
2020-03-29,71
2020-04-05,49
2020-04-12,32
2020-04-19,82
2020-04-26,18
2020-05-03,68
2020-05-10,53
2020-05-17,9
2020-05-24,20
2020-05-31,19
2020-06-07,31
2020-06-14,10
2020-06-21,0
2020-06-28,32
2020-07-05,11
2020-07-12,0
2020-07-19,11
2020-07-26,33
2020-08-02,33
2020-08-09,33
2020-08-16,11
2020-08-23,11
2020-08-30,11
2020-09-06,10
2020-09-13,20
2020-09-20,0
2020-09-27,10
2020-10-04,21
2020-10-11,11
2020-10-18,10
2020-10-25,11
2020-11-01,22
2020-11-08,41
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,31
2020-12-13,0
2020-12-20,11
2020-12-27,12
2021-01-03,24
2021-01-10,11
2021-01-17,0
2021-01-24,42
2021-01-31,21
2021-02-07,21
2021-02-14,21
2021-02-21,11
2021-02-28,32
2021-03-07,11
2021-03-14,10
2021-03-21,0
2021-03-28,0
2021-04-04,11
2021-04-11,0
2021-04-18,11
2021-04-25,22
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,12
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,13
2021-07-11,12
2021-07-18,0
2021-07-25,25
2021-08-01,0
2021-08-08,25
2021-08-15,12
2021-08-22,14
2021-08-29,13
2021-09-05,26
2021-09-12,13
2021-09-19,12
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,24
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,12
2021-11-21,0
2021-11-28,23
2021-12-05,0
2021-12-12,11
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,24
2022-01-16,23
2022-01-23,11
2022-01-30,12
2022-02-06,12
2022-02-13,11
2022-02-20,0
2022-02-27,11
2022-03-06,0
2022-03-13,34
2022-03-20,58
2022-03-27,11
2022-04-03,11
2022-04-10,11
