Category: All categories

Week,WFH: (United Kingdom)
2020-01-26,5
2020-02-02,4
2020-02-09,4
2020-02-16,4
2020-02-23,8
2020-03-01,8
2020-03-08,27
2020-03-15,100
2020-03-22,63
2020-03-29,42
2020-04-05,32
2020-04-12,23
2020-04-19,23
2020-04-26,24
2020-05-03,19
2020-05-10,23
2020-05-17,15
2020-05-24,18
2020-05-31,16
2020-06-07,17
2020-06-14,18
2020-06-21,13
2020-06-28,12
2020-07-05,15
2020-07-12,18
2020-07-19,12
2020-07-26,16
2020-08-02,14
2020-08-09,16
2020-08-16,13
2020-08-23,18
2020-08-30,19
2020-09-06,14
2020-09-13,16
2020-09-20,36
2020-09-27,23
2020-10-04,20
2020-10-11,23
2020-10-18,27
2020-10-25,27
2020-11-01,22
2020-11-08,27
2020-11-15,25
2020-11-22,29
2020-11-29,14
2020-12-06,12
2020-12-13,16
2020-12-20,9
2020-12-27,12
2021-01-03,36
2021-01-10,28
2021-01-17,24
2021-01-24,23
2021-01-31,23
2021-02-07,19
2021-02-14,23
2021-02-21,21
2021-02-28,18
2021-03-07,18
2021-03-14,24
2021-03-21,22
2021-03-28,19
2021-04-04,22
2021-04-11,19
2021-04-18,14
2021-04-25,17
2021-05-02,11
2021-05-09,16
2021-05-16,17
2021-05-23,13
2021-05-30,11
2021-06-06,15
2021-06-13,16
2021-06-20,21
2021-06-27,18
2021-07-04,16
2021-07-11,17
2021-07-18,14
2021-07-25,15
2021-08-01,13
2021-08-08,17
2021-08-15,14
2021-08-22,16
2021-08-29,13
2021-09-05,13
2021-09-12,16
2021-09-19,15
2021-09-26,20
2021-10-03,16
2021-10-10,19
2021-10-17,20
2021-10-24,16
2021-10-31,19
2021-11-07,16
2021-11-14,17
2021-11-21,17
2021-11-28,23
2021-12-05,43
2021-12-12,29
2021-12-19,14
2021-12-26,30
2022-01-02,29
2022-01-09,32
2022-01-16,45
2022-01-23,35
2022-01-30,25
2022-02-06,18
2022-02-13,22
2022-02-20,17
2022-02-27,22
2022-03-06,27
2022-03-13,23
2022-03-20,19
2022-03-27,24
2022-04-03,25
2022-04-10,18
