Category: All categories

Week,WFH: (Worldwide)
2020-01-26,3
2020-02-02,3
2020-02-09,4
2020-02-16,4
2020-02-23,4
2020-03-01,10
2020-03-08,30
2020-03-15,100
2020-03-22,94
2020-03-29,60
2020-04-05,49
2020-04-12,44
2020-04-19,36
2020-04-26,33
2020-05-03,27
2020-05-10,29
2020-05-17,25
2020-05-24,23
2020-05-31,21
2020-06-07,19
2020-06-14,17
2020-06-21,19
2020-06-28,16
2020-07-05,18
2020-07-12,21
2020-07-19,23
2020-07-26,22
2020-08-02,20
2020-08-09,18
2020-08-16,18
2020-08-23,17
2020-08-30,16
2020-09-06,19
2020-09-13,17
2020-09-20,18
2020-09-27,17
2020-10-04,16
2020-10-11,16
2020-10-18,19
2020-10-25,14
2020-11-01,14
2020-11-08,15
2020-11-15,15
2020-11-22,15
2020-11-29,14
2020-12-06,14
2020-12-13,14
2020-12-20,13
2020-12-27,12
2021-01-03,22
2021-01-10,19
2021-01-17,16
2021-01-24,17
2021-01-31,16
2021-02-07,14
2021-02-14,15
2021-02-21,14
2021-02-28,16
2021-03-07,14
2021-03-14,13
2021-03-21,14
2021-03-28,14
2021-04-04,16
2021-04-11,16
2021-04-18,17
2021-04-25,18
2021-05-02,17
2021-05-09,18
2021-05-16,30
2021-05-23,26
2021-05-30,24
2021-06-06,23
2021-06-13,21
2021-06-20,23
2021-06-27,27
2021-07-04,28
2021-07-11,26
2021-07-18,25
2021-07-25,23
2021-08-01,21
2021-08-08,19
2021-08-15,17
2021-08-22,19
2021-08-29,17
2021-09-05,17
2021-09-12,16
2021-09-19,15
2021-09-26,16
2021-10-03,14
2021-10-10,14
2021-10-17,14
2021-10-24,13
2021-10-31,13
2021-11-07,14
2021-11-14,15
2021-11-21,13
2021-11-28,14
2021-12-05,16
2021-12-12,14
2021-12-19,12
2021-12-26,13
2022-01-02,26
2022-01-09,23
2022-01-16,23
2022-01-23,19
2022-01-30,19
2022-02-06,21
2022-02-13,20
2022-02-20,18
2022-02-27,18
2022-03-06,19
2022-03-13,18
2022-03-20,18
2022-03-27,17
2022-04-03,18
2022-04-10,17
