Category: All categories

Week,WFH: (Iran)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,28
2020-02-23,0
2020-03-01,0
2020-03-08,26
2020-03-15,79
2020-03-22,0
2020-03-29,26
2020-04-05,24
2020-04-12,24
2020-04-19,48
2020-04-26,23
2020-05-03,47
2020-05-10,48
2020-05-17,24
2020-05-24,0
2020-05-31,50
2020-06-07,49
2020-06-14,0
2020-06-21,25
2020-06-28,50
2020-07-05,25
2020-07-12,100
2020-07-19,0
2020-07-26,25
2020-08-02,25
2020-08-09,98
2020-08-16,25
2020-08-23,26
2020-08-30,26
2020-09-06,49
2020-09-13,0
2020-09-20,45
2020-09-27,23
2020-10-04,0
2020-10-11,68
2020-10-18,0
2020-10-25,22
2020-11-01,0
2020-11-08,42
2020-11-15,21
2020-11-22,0
2020-11-29,40
2020-12-06,40
2020-12-13,20
2020-12-20,61
2020-12-27,0
2021-01-03,40
2021-01-10,41
2021-01-17,20
2021-01-24,0
2021-01-31,0
2021-02-07,83
2021-02-14,20
2021-02-21,61
2021-02-28,20
2021-03-07,78
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,18
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,18
2021-05-16,0
2021-05-23,59
2021-05-30,0
2021-06-06,0
2021-06-13,21
2021-06-20,21
2021-06-27,21
2021-07-04,0
2021-07-11,41
2021-07-18,0
2021-07-25,42
2021-08-01,0
2021-08-08,21
2021-08-15,0
2021-08-22,21
2021-08-29,21
2021-09-05,42
2021-09-12,0
2021-09-19,41
2021-09-26,40
2021-10-03,20
2021-10-10,19
2021-10-17,19
2021-10-24,19
2021-10-31,37
2021-11-07,0
2021-11-14,0
2021-11-21,18
2021-11-28,0
2021-12-05,18
2021-12-12,72
2021-12-19,56
2021-12-26,37
2022-01-02,37
2022-01-09,0
2022-01-16,0
2022-01-23,19
2022-01-30,18
2022-02-06,37
2022-02-13,38
2022-02-20,19
2022-02-27,38
2022-03-06,38
2022-03-13,41
2022-03-20,25
2022-03-27,0
2022-04-03,19
2022-04-10,21
