Category: All categories

Week,WFH: (Saudi Arabia)
2020-01-26,0
2020-02-02,9
2020-02-09,9
2020-02-16,9
2020-02-23,0
2020-03-01,9
2020-03-08,17
2020-03-15,100
2020-03-22,68
2020-03-29,17
2020-04-05,24
2020-04-12,24
2020-04-19,25
2020-04-26,18
2020-05-03,9
2020-05-10,17
2020-05-17,27
2020-05-24,0
2020-05-31,9
2020-06-07,9
2020-06-14,18
2020-06-21,18
2020-06-28,18
2020-07-05,18
2020-07-12,18
2020-07-19,9
2020-07-26,10
2020-08-02,20
2020-08-09,9
2020-08-16,0
2020-08-23,0
2020-08-30,23
2020-09-06,14
2020-09-13,0
2020-09-20,16
2020-09-27,22
2020-10-04,7
2020-10-11,22
2020-10-18,0
2020-10-25,0
2020-11-01,21
2020-11-08,0
2020-11-15,15
2020-11-22,22
2020-11-29,0
2020-12-06,8
2020-12-13,0
2020-12-20,8
2020-12-27,9
2021-01-03,10
2021-01-10,9
2021-01-17,0
2021-01-24,8
2021-01-31,0
2021-02-07,14
2021-02-14,15
2021-02-21,0
2021-02-28,0
2021-03-07,15
2021-03-14,0
2021-03-21,8
2021-03-28,0
2021-04-04,8
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,9
2021-05-09,0
2021-05-16,10
2021-05-23,0
2021-05-30,18
2021-06-06,9
2021-06-13,0
2021-06-20,9
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,19
2021-08-08,9
2021-08-15,0
2021-08-22,9
2021-08-29,8
2021-09-05,0
2021-09-12,8
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,9
2021-10-24,0
2021-10-31,8
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,10
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,9
2022-01-16,0
2022-01-23,9
2022-01-30,9
2022-02-06,17
2022-02-13,0
2022-02-20,9
2022-02-27,9
2022-03-06,0
2022-03-13,19
2022-03-20,0
2022-03-27,17
2022-04-03,0
2022-04-10,0
