Category: All categories

Week,WFH: (Japan)
2020-01-26,5
2020-02-02,9
2020-02-09,8
2020-02-16,21
2020-02-23,17
2020-03-01,39
2020-03-08,34
2020-03-15,64
2020-03-22,83
2020-03-29,81
2020-04-05,100
2020-04-12,59
2020-04-19,59
2020-04-26,40
2020-05-03,37
2020-05-10,38
2020-05-17,42
2020-05-24,34
2020-05-31,28
2020-06-07,15
2020-06-14,15
2020-06-21,16
2020-06-28,20
2020-07-05,28
2020-07-12,26
2020-07-19,30
2020-07-26,38
2020-08-02,26
2020-08-09,20
2020-08-16,10
2020-08-23,19
2020-08-30,19
2020-09-06,26
2020-09-13,13
2020-09-20,16
2020-09-27,12
2020-10-04,26
2020-10-11,21
2020-10-18,3
2020-10-25,13
2020-11-01,11
2020-11-08,15
2020-11-15,16
2020-11-22,16
2020-11-29,13
2020-12-06,23
2020-12-13,20
2020-12-20,23
2020-12-27,10
2021-01-03,14
2021-01-10,21
2021-01-17,16
2021-01-24,23
2021-01-31,16
2021-02-07,9
2021-02-14,16
2021-02-21,11
2021-02-28,21
2021-03-07,6
2021-03-14,22
2021-03-21,11
2021-03-28,16
2021-04-04,16
2021-04-11,22
2021-04-18,10
2021-04-25,18
2021-05-02,8
2021-05-09,15
2021-05-16,12
2021-05-23,17
2021-05-30,19
2021-06-06,17
2021-06-13,14
2021-06-20,12
2021-06-27,14
2021-07-04,11
2021-07-11,11
2021-07-18,14
2021-07-25,21
2021-08-01,25
2021-08-08,10
2021-08-15,11
2021-08-22,10
2021-08-29,15
2021-09-05,14
2021-09-12,6
2021-09-19,6
2021-09-26,8
2021-10-03,11
2021-10-10,8
2021-10-17,14
2021-10-24,14
2021-10-31,5
2021-11-07,8
2021-11-14,9
2021-11-21,3
2021-11-28,18
2021-12-05,12
2021-12-12,11
2021-12-19,12
2021-12-26,8
2022-01-02,8
2022-01-09,9
2022-01-16,13
2022-01-23,25
2022-01-30,12
2022-02-06,7
2022-02-13,6
2022-02-20,7
2022-02-27,13
2022-03-06,12
2022-03-13,10
2022-03-20,7
2022-03-27,10
2022-04-03,13
2022-04-10,13
