Category: All categories

Week,WFH: (Turkey)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,36
2020-03-15,68
2020-03-22,100
2020-03-29,17
2020-04-05,17
2020-04-12,86
2020-04-19,0
2020-04-26,17
2020-05-03,0
2020-05-10,17
2020-05-17,54
2020-05-24,18
2020-05-31,0
2020-06-07,36
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,40
2020-07-12,20
2020-07-19,41
2020-07-26,22
2020-08-02,0
2020-08-09,19
2020-08-16,20
2020-08-23,19
2020-08-30,18
2020-09-06,19
2020-09-13,55
2020-09-20,53
2020-09-27,18
2020-10-04,18
2020-10-11,0
2020-10-18,19
2020-10-25,0
2020-11-01,0
2020-11-08,18
2020-11-15,18
2020-11-22,17
2020-11-29,17
2020-12-06,17
2020-12-13,17
2020-12-20,35
2020-12-27,18
2021-01-03,17
2021-01-10,17
2021-01-17,0
2021-01-24,18
2021-01-31,19
2021-02-07,19
2021-02-14,0
2021-02-21,36
2021-02-28,18
2021-03-07,52
2021-03-14,33
2021-03-21,33
2021-03-28,0
2021-04-04,17
2021-04-11,17
2021-04-18,17
2021-04-25,34
2021-05-02,16
2021-05-09,19
2021-05-16,37
2021-05-23,0
2021-05-30,75
2021-06-06,75
2021-06-13,37
2021-06-20,0
2021-06-27,39
2021-07-04,20
2021-07-11,21
2021-07-18,52
2021-07-25,39
2021-08-01,60
2021-08-08,20
2021-08-15,39
2021-08-22,21
2021-08-29,0
2021-09-05,22
2021-09-12,0
2021-09-19,21
2021-09-26,42
2021-10-03,21
2021-10-10,42
2021-10-17,0
2021-10-24,20
2021-10-31,20
2021-11-07,60
2021-11-14,0
2021-11-21,35
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,54
2022-01-09,54
2022-01-16,55
2022-01-23,39
2022-01-30,0
2022-02-06,0
2022-02-13,20
2022-02-20,19
2022-02-27,18
2022-03-06,0
2022-03-13,36
2022-03-20,38
2022-03-27,19
2022-04-03,0
2022-04-10,0
