Category: All categories

Week,medical treatment: (Germany)
2020-01-26,23
2020-02-02,23
2020-02-09,33
2020-02-16,46
2020-02-23,44
2020-03-01,33
2020-03-08,31
2020-03-15,41
2020-03-22,21
2020-03-29,61
2020-04-05,11
2020-04-12,54
2020-04-19,31
2020-04-26,31
2020-05-03,31
2020-05-10,21
2020-05-17,44
2020-05-24,21
2020-05-31,21
2020-06-07,32
2020-06-14,52
2020-06-21,11
2020-06-28,0
2020-07-05,45
2020-07-12,24
2020-07-19,0
2020-07-26,12
2020-08-02,12
2020-08-09,69
2020-08-16,0
2020-08-23,23
2020-08-30,0
2020-09-06,12
2020-09-13,23
2020-09-20,23
2020-09-27,23
2020-10-04,46
2020-10-11,12
2020-10-18,12
2020-10-25,46
2020-11-01,31
2020-11-08,46
2020-11-15,46
2020-11-22,34
2020-11-29,23
2020-12-06,67
2020-12-13,22
2020-12-20,39
2020-12-27,37
2021-01-03,22
2021-01-10,0
2021-01-17,21
2021-01-24,43
2021-01-31,54
2021-02-07,22
2021-02-14,55
2021-02-21,11
2021-02-28,22
2021-03-07,43
2021-03-14,21
2021-03-21,11
2021-03-28,25
2021-04-04,34
2021-04-11,54
2021-04-18,33
2021-04-25,33
2021-05-02,21
2021-05-09,23
2021-05-16,21
2021-05-23,34
2021-05-30,12
2021-06-06,23
2021-06-13,0
2021-06-20,12
2021-06-27,24
2021-07-04,12
2021-07-11,60
2021-07-18,13
2021-07-25,25
2021-08-01,38
2021-08-08,39
2021-08-15,13
2021-08-22,40
2021-08-29,26
2021-09-05,26
2021-09-12,78
2021-09-19,13
2021-09-26,25
2021-10-03,39
2021-10-10,27
2021-10-17,0
2021-10-24,39
2021-10-31,39
2021-11-07,13
2021-11-14,25
2021-11-21,37
2021-11-28,12
2021-12-05,38
2021-12-12,28
2021-12-19,0
2021-12-26,35
2022-01-02,15
2022-01-09,59
2022-01-16,0
2022-01-23,100
2022-01-30,0
2022-02-06,74
2022-02-13,58
2022-02-20,15
2022-02-27,30
2022-03-06,15
2022-03-13,29
2022-03-20,16
2022-03-27,29
2022-04-03,68
2022-04-10,32
