Category: All categories

Week,medical treatment: (India)
2020-01-26,69
2020-02-02,91
2020-02-09,76
2020-02-16,61
2020-02-23,88
2020-03-01,79
2020-03-08,77
2020-03-15,71
2020-03-22,89
2020-03-29,74
2020-04-05,68
2020-04-12,82
2020-04-19,58
2020-04-26,66
2020-05-03,77
2020-05-10,75
2020-05-17,81
2020-05-24,88
2020-05-31,83
2020-06-07,70
2020-06-14,77
2020-06-21,69
2020-06-28,57
2020-07-05,72
2020-07-12,70
2020-07-19,70
2020-07-26,74
2020-08-02,72
2020-08-09,70
2020-08-16,75
2020-08-23,82
2020-08-30,69
2020-09-06,68
2020-09-13,81
2020-09-20,75
2020-09-27,70
2020-10-04,69
2020-10-11,79
2020-10-18,67
2020-10-25,78
2020-11-01,70
2020-11-08,64
2020-11-15,69
2020-11-22,68
2020-11-29,74
2020-12-06,79
2020-12-13,68
2020-12-20,78
2020-12-27,62
2021-01-03,89
2021-01-10,71
2021-01-17,76
2021-01-24,68
2021-01-31,77
2021-02-07,76
2021-02-14,68
2021-02-21,74
2021-02-28,76
2021-03-07,85
2021-03-14,83
2021-03-21,69
2021-03-28,76
2021-04-04,79
2021-04-11,83
2021-04-18,88
2021-04-25,86
2021-05-02,88
2021-05-09,98
2021-05-16,84
2021-05-23,97
2021-05-30,95
2021-06-06,87
2021-06-13,97
2021-06-20,80
2021-06-27,96
2021-07-04,76
2021-07-11,100
2021-07-18,78
2021-07-25,92
2021-08-01,93
2021-08-08,72
2021-08-15,84
2021-08-22,80
2021-08-29,81
2021-09-05,83
2021-09-12,77
2021-09-19,84
2021-09-26,72
2021-10-03,79
2021-10-10,65
2021-10-17,65
2021-10-24,70
2021-10-31,67
2021-11-07,74
2021-11-14,82
2021-11-21,86
2021-11-28,66
2021-12-05,92
2021-12-12,81
2021-12-19,74
2021-12-26,72
2022-01-02,85
2022-01-09,79
2022-01-16,71
2022-01-23,89
2022-01-30,94
2022-02-06,76
2022-02-13,82
2022-02-20,86
2022-02-27,92
2022-03-06,78
2022-03-13,90
2022-03-20,86
2022-03-27,82
2022-04-03,91
2022-04-10,83
